Iteration,RevenueMultiplier,GrossMarginDelta,OpexMultiplier,DSODelta,RevenueTRY,EBITDATRY,EndingCashTRY,EBITDABelowBudgetFlag,NegativeCashFlag
115,1.115608,0.009836,1.025534,1.4168,1997843704.63,269737947.08,309516633.9,False,False
116,0.940143,0.004787,1.027992,4.6414,1683619075.03,97546129.94,178771957.79,True,False
117,0.996379,-0.01409,1.069473,-2.9702,1784326824.51,84516666.06,205841446.99,True,False
118,0.925438,-0.036134,0.976269,-2.4343,1657284799.76,54597405.15,182029069.2,True,False
119,0.986738,-0.000845,1.016867,5.1285,1767062734.92,138396341.58,203130914.26,True,False
120,0.904756,-0.017774,1.034729,4.11,1620248334.07,23677397.22,131705880.53,True,False
121,1.121613,-0.001511,1.061779,5.0847,2008598642.73,225647572.02,259308875.08,False,False
122,1.074077,0.01916,1.041789,0.9833,1923469791.65,237322845.04,290047673.76,False,False
123,1.126173,-0.031211,0.963265,14.2199,2016765117.46,242815633.18,220393965.58,False,False
124,1.005182,0.016545,0.967996,2.5626,1800091775.64,222553460.0,272548126.25,False,False
125,1.143524,0.013173,1.031179,-7.2682,2047837159.44,298146213.85,377367774.95,False,False
126,0.953089,0.002092,0.952282,2.3783,1706803443.61,160839092.9,232099335.12,False,False
127,1.001683,0.017472,0.989104,8.5549,1793826440.42,205314171.86,231419779.06,False,False
128,0.964348,-0.001174,0.937823,-2.287,1726966015.51,176136078.9,264443237.18,False,False
129,1.045334,0.022983,1.005158,3.2371,1871996878.42,244610087.64,283582702.41,False,False
130,0.886111,-0.008481,0.988257,-2.8432,1586858069.46,56558739.17,184670824.77,True,False
131,0.974594,0.009417,0.995381,-2.0239,1745314230.45,161247624.28,253175816.56,False,False
132,1.124055,0.002701,0.947665,0.0473,2012972025.01,320833363.34,351755806.73,False,False
133,0.976158,-0.005729,1.026331,7.6159,1748116340.98,113292769.51,174413648.1,True,False
134,0.998537,-0.007888,0.985842,7.6456,1788191893.29,159437378.82,204810127.41,False,False
135,1.075836,-0.017909,0.994936,-2.3073,1926620215.06,202253991.44,283561549.5,False,False
136,1.030824,-0.008366,1.022618,-7.9891,1846012584.52,160081234.84,283110375.27,False,False
137,0.991292,-0.005692,1.017785,1.0584,1775217780.32,133227575.26,219297255.58,True,False
138,0.878668,0.018066,1.010928,5.8727,1573529438.93,74920815.18,159478803.8,True,False
139,0.971151,0.000562,0.959784,5.8753,1739149279.91,169033650.02,220798338.05,False,False
140,0.928884,-0.007784,0.953985,3.0641,1663456158.07,121154570.97,202270510.74,True,False
141,1.019207,-0.00391,0.951126,-2.3059,1825207873.43,210818357.69,288737440.05,False,False
142,0.959236,-0.01142,1.040219,-5.2,1717812076.61,78092833.22,211425855.62,True,False
143,1.218037,-0.01223,1.068801,-5.5325,2181274737.74,284059550.87,360073313.05,False,False
144,1.103519,-0.014908,0.999578,-5.6575,1976194968.33,228907997.71,320138468.11,False,False
145,1.035328,0.025086,0.972936,5.6382,1854077121.89,262903012.83,283983966.72,False,False
146,1.098613,-0.00266,1.005802,3.7893,1967409484.28,244087507.42,279404601.19,False,False
147,0.9706,-0.022624,1.038916,-5.0509,1738162487.34,69635025.13,205254725.98,True,False
148,1.004289,-0.021013,0.92439,11.0479,1798492789.76,186463388.22,206207839.38,False,False
149,0.924084,-0.000435,1.006715,3.8577,1654860223.76,89991836.24,177554156.45,True,False
150,1.070422,0.016986,1.031121,2.906,1916924376.84,237622081.42,280170873.43,False,False
151,1.055141,-0.029269,1.039605,1.0109,1889558627.24,129645838.8,216775605.58,True,False
152,1.067386,-0.004735,1.0025,-5.8039,1911487956.2,214459093.56,310076749.04,False,False
153,1.04952,-0.018998,1.022323,2.5824,1879494000.53,156956296.78,227282544.52,True,False
154,0.921019,-0.007647,0.983701,2.6437,1649371516.07,92367387.74,184713347.89,True,False
155,0.932942,-0.006404,0.969274,-0.3586,1670724707.62,115754185.96,214204319.7,True,False
156,0.977079,0.023194,0.998956,-3.9689,1749764273.41,184997030.36,278674533.83,False,False
157,1.068057,-0.000155,0.977141,0.9401,1912689528.68,242598094.28,293890025.36,False,False
158,1.129123,0.025962,0.974894,-0.2354,2022046925.59,352316080.57,374728832.93,False,False
159,1.016965,0.023756,1.015068,-9.1513,1821193567.78,211840340.37,323562425.22,False,False
160,1.029352,-0.01615,1.05322,-2.2341,1843375691.78,121761576.06,227930756.66,True,False
161,1.008044,0.000194,1.03355,1.6849,1805217661.06,147166694.18,225590158.68,True,False
162,0.985576,0.001161,0.992246,7.3955,1764981826.76,159119668.78,206289858.83,False,False
163,1.058065,-0.004571,0.933059,1.2638,1894795942.22,257837234.71,302618586.21,False,False
164,1.095364,-0.002156,0.978509,-0.2433,1961590573.89,262361981.31,313563518.41,False,False
165,1.007906,0.015488,0.936445,1.3135,1804970042.78,246555627.01,295012087.42,False,False
166,1.100087,0.002466,0.98011,-1.1861,1970049570.95,274538168.87,326937632.5,False,False
167,1.116932,-0.002153,0.900592,2.0125,2000215655.81,339503554.53,353683942.09,False,False
168,1.06968,-0.016012,0.924283,4.1535,1915596027.32,252834420.0,283979135.18,False,False
169,0.983032,0.023357,1.001202,-5.9678,1760426156.77,189255609.4,291326893.92,False,False
170,1.095024,-0.038511,1.00201,-9.4085,1960982544.33,173361987.75,302283639.17,False,False
171,0.929702,-0.010327,0.970914,-0.1906,1664922412.31,105112899.38,206196205.1,True,False
172,0.968531,-0.028222,0.959805,4.1414,1734456403.32,116720879.62,193540667.39,True,False
173,0.986059,0.033354,1.010648,0.0111,1765845858.23,202777892.07,271685056.86,False,False
174,1.111191,0.003324,1.009169,7.2106,1989934692.72,264824560.55,274619533.07,False,False
175,0.995311,0.004026,1.011388,4.5928,1782414957.87,158882150.44,219461819.24,False,False
176,0.991638,-0.014189,1.029258,-6.8268,1775837212.47,109951208.93,241831322.39,True,False
177,1.050764,0.014459,1.022805,2.4055,1881721422.89,220638252.23,271482467.03,False,False
178,0.991901,-0.01553,1.048888,-3.9031,1776308951.04,93262687.84,216263441.38,True,False
179,1.077534,-0.004541,0.95093,8.4875,1929661263.35,262118511.51,267219178.98,False,False
180,0.96186,-0.009264,0.927433,3.8913,1722509736.67,167648255.61,229487109.31,False,False
181,0.841342,-0.009163,0.950028,-4.7096,1506685370.31,44009074.6,183216747.92,True,False
182,0.851754,0.003857,1.080114,-4.8385,1525331027.43,-23212497.02,138285554.48,True,False
183,0.979834,0.03044,1.031984,-5.1643,1754697885.73,175859881.08,278261239.16,False,False
184,0.884256,-0.012294,1.003613,-8.9846,1583536698.96,37499698.22,198329022.35,True,False
185,0.956255,-0.019664,0.979446,-4.5141,1712472231.08,106341713.77,227341309.15,True,False
186,0.986531,-0.028998,1.060276,-4.7368,1766691880.0,56326200.22,195079004.07,True,False
187,0.975686,0.002169,1.005917,-2.2998,1747270600.94,141787383.34,241274740.94,True,False
188,1.019428,-0.017109,0.906837,-1.6047,1825603496.98,219717266.22,291283984.6,False,False
189,0.911379,0.041837,0.989223,-1.9385,1632108665.21,160450526.17,251624370.82,False,False
190,0.984465,-0.00059,0.957783,-4.8748,1762992645.35,180546977.99,280167582.75,False,False
191,1.113886,0.026729,0.974181,3.4624,1994759900.74,339876528.74,346043812.91,False,False
192,1.006042,-0.02311,1.091962,-7.8275,1801632095.83,60111966.76,213362583.05,True,False
193,0.862011,0.007911,1.007272,-3.0418,1543700595.55,46340183.84,178225967.49,True,False
194,0.993422,0.012542,1.002126,4.3152,1779032107.12,179167730.68,234651267.19,False,False
195,0.953633,-0.011826,0.970292,9.9919,1707777615.25,124226788.2,171573526.62,True,False
196,1.008587,-0.028436,1.034021,-5.2076,1806190742.05,95598457.87,224626317.99,True,False
197,0.99694,0.017719,0.954219,-3.2091,1785331894.88,227149197.01,304008216.06,False,False
198,1.103784,-0.00848,0.992262,-0.8366,1976669298.1,247264506.43,306520437.78,False,False
199,1.080276,0.037963,1.091692,-3.6272,1934571071.08,242565235.63,318019159.91,False,False
200,0.943262,0.023,0.933757,-4.7485,1689205146.39,200945956.97,292469130.01,False,False
201,0.947822,-0.020954,1.008219,-1.5798,1697370379.36,75511776.78,192544492.61,True,False
202,1.129535,-0.00659,0.954355,4.8239,2022785426.8,302071456.5,312524928.35,False,False
203,0.964428,0.040781,0.957167,4.3914,1727108779.45,234343929.24,272424619.5,False,False
204,1.014414,0.000358,1.059872,6.7475,1816624957.0,133738123.96,191209137.72,True,False
205,0.95088,-0.025471,0.964474,3.3869,1702847363.68,102867058.53,187998331.43,True,False
206,0.977493,0.020642,0.996461,-3.9369,1750507110.89,182769434.54,277014241.69,False,False
207,0.914658,-0.011275,0.939167,-4.8645,1637979948.38,113734228.08,233019263.61,True,False
208,1.032932,-0.006707,0.9959,-2.8891,1849786520.62,184811475.21,274163577.22,False,False
209,1.112558,-0.028229,0.98949,6.4826,1992382015.06,217776718.41,246552357.21,False,False
210,0.962663,0.011766,0.98253,-0.2778,1723948657.1,163814951.95,246555999.75,False,False
211,0.975853,0.011918,1.058984,-4.9267,1747570070.91,119678729.28,238819612.6,True,False
212,0.92455,-0.008237,1.06355,2.6255,1655695623.49,35406428.78,146016832.5,True,False
213,1.02901,0.011164,1.081954,10.9729,1842762831.33,150515318.39,180801618.88,True,False
214,0.875711,-0.013486,0.98491,6.4516,1568233214.97,41935463.09,134646729.81,True,False
215,1.048107,-0.024803,0.995927,-5.7331,1876962294.57,164376538.85,275107388.05,False,False
216,1.012528,0.0268,0.973174,-4.3957,1813247593.51,244178230.19,321728206.96,False,False
217,1.004923,0.005139,1.018056,-7.8085,1799628822.2,164713977.85,284355370.63,False,False
218,0.864148,-0.00432,0.952127,8.2292,1547527614.81,70214656.86,146705859.91,True,False
219,0.945306,-0.010601,0.981417,-14.4287,1692865893.13,110704073.12,276048714.99,True,False
220,0.934485,0.026701,1.016126,-4.0148,1673487118.36,137837892.52,245987306.21,True,False
221,0.941061,-0.004149,0.95337,-5.1446,1685263100.07,138586590.63,251842271.31,True,False
222,0.907966,0.009269,0.948693,10.8018,1625996039.34,134165028.3,176962310.35,True,False
223,1.02228,0.030103,0.925181,-10.2315,1830710893.71,295058927.6,385807656.31,False,False
224,1.02135,0.014341,1.015026,-8.0834,1829045132.06,198804418.89,309543420.96,False,False
225,0.956158,0.004316,0.9385,0.555,1712299379.34,177640786.11,252042017.58,False,False
226,1.103301,-0.005365,1.055304,-3.1179,1975805152.52,206304786.92,291015094.27,False,False
227,0.991314,-0.007874,0.960279,7.347,1775257548.65,171958836.6,215048143.46,False,False
228,0.997477,-0.007796,1.036525,1.2809,1786293639.32,121124853.58,209946166.74,True,False
229,0.998077,-0.000854,1.010874,0.1792,1787368207.96,153062287.45,237054546.04,True,False
230,0.91825,0.003066,1.06398,-10.3288,1644412854.59,48066716.29,213069117.12,True,False
231,1.038093,0.017686,1.032911,2.4742,1859029024.78,207359813.42,262252682.74,False,False
232,0.922884,-0.054621,1.011494,2.6163,1652711217.95,-4186971.01,119156075.95,True,False
233,0.928578,0.014727,1.02381,-3.4531,1662908153.58,106607392.47,222075096.92,True,False
234,0.914641,-0.019229,1.074762,1.8698,1637950968.11,279070.9,125648939.24,True,False
235,0.941459,0.037071,1.032734,-11.9509,1685976640.35,149667087.32,290825871.88,True,False
236,1.014301,0.002591,0.997774,-0.3596,1816421693.94,183676541.15,260539382.39,False,False
237,1.00354,-0.004931,0.965096,-2.3703,1797152314.74,184570443.52,271028465.29,False,False
238,1.028118,0.022641,0.977478,2.0914,1841166451.64,248189993.53,292069231.26,False,False
239,0.95616,-0.031562,0.984668,-7.6957,1712303392.93,82020887.35,225726328.54,True,False
240,0.844686,0.003567,1.031051,-1.9137,1512674367.96,6236763.53,146021687.36,True,False
241,0.954022,-0.044597,0.958328,1.3069,1708475085.81,77442357.84,180393349.62,True,False
242,1.020094,-0.000571,1.017074,1.0373,1826796659.69,168877623.45,243494882.24,False,False
243,0.980525,-0.002641,1.003469,0.8386,1755935941.59,139552114.22,224710807.49,True,False
244,0.944896,-0.007355,1.032662,-5.5624,1692130781.38,77884817.24,212598557.03,True,False
245,0.903438,0.016075,0.944303,-3.1911,1617887436.45,144253517.85,246087070.08,True,False
246,0.938354,0.00283,1.060397,-6.7383,1680415308.29,68626985.46,211538556.25,True,False
247,0.998871,0.015757,1.009752,-2.3921,1788790930.53,184324336.74,270913564.93,False,False
248,1.037771,0.029564,0.983259,4.8868,1858452464.18,265901905.37,289781249.84,False,False
249,0.942109,-0.001067,1.004518,-9.8811,1687139598.62,106847889.68,252179884.3,True,False
250,1.02619,0.020975,0.923707,2.7519,1837712842.67,283124846.88,312519629.07,False,False
251,0.954744,0.004853,0.925703,-0.478,1709766798.57,186744520.84,263075152.84,False,False
252,0.946714,-0.024443,0.968133,3.2257,1695387135.07,98321317.46,185725379.05,True,False
253,0.970451,-0.011051,0.959318,-4.4661,1737896140.41,148563780.85,256137882.75,True,False
254,1.024137,-0.002556,1.0537,-5.2183,1834037288.03,141769983.89,256474365.76,True,False
255,0.947646,0.013473,1.014963,11.0338,1697055561.44,128789705.91,170125698.09,True,False
256,0.981039,-0.00822,0.963514,-14.3491,1756856474.77,159801597.73,311581687.0,False,False
257,1.017341,0.002966,1.062444,3.4119,1821867393.39,139234667.96,211499259.72,True,False
258,0.970583,-0.024408,1.02512,-4.3148,1738132029.88,76735020.81,206576716.23,True,False
259,0.859801,0.014675,0.938246,-1.1684,1539742327.89,105840456.28,210750097.28,True,False
260,0.898152,-0.005098,0.995342,-6.0322,1608421526.79,67467355.2,206309380.27,True,False
261,0.87405,7.3e-05,1.045247,2.3542,1565259545.14,17014566.45,135324253.28,True,False
262,0.965204,0.010153,0.89597,-5.0649,1728499109.12,227481380.05,312522580.03,False,False
263,1.112402,0.010923,0.948424,-1.7242,1992102779.27,326049470.06,364973902.87,False,False
264,0.905619,-0.0111,1.033018,4.0819,1621793393.0,36521451.62,140547338.34,True,False
265,1.019804,0.004949,0.912117,-7.4568,1826277492.81,256420632.36,345525887.21,False,False
266,1.020799,0.012047,1.096973,-6.1282,1828059182.21,133413367.77,255263283.59,True,False
267,0.938567,-0.00474,0.954514,6.0432,1680798087.4,134507773.88,197486811.31,True,False
268,1.047189,0.008067,1.013285,-0.3774,1875318744.32,212373715.54,280203183.41,False,False
269,1.115912,0.011663,0.964467,1.793,1998389516.71,318893609.94,340880940.38,False,False
270,1.017449,-0.00464,0.992927,0.2629,1822059688.3,176955110.8,252866996.62,False,False
271,1.015337,0.015311,0.998564,-0.68,1818277556.66,207163011.74,278107990.1,False,False
272,1.011228,-0.035767,0.937719,-0.9971,1810919309.21,155891562.11,244803115.8,True,False
273,0.931476,-0.007153,1.016478,-1.5795,1668098412.29,78237999.29,194270350.22,True,False
274,1.012306,-0.008019,1.122054,-3.579,1812849266.96,70594199.25,199629890.69,True,False
275,1.005073,-0.003736,0.972245,0.0706,1799897021.87,182802124.42,257807143.46,False,False
276,1.023054,-0.013239,0.950609,-7.3293,1832098193.41,197564640.15,304983001.35,False,False
277,0.88423,0.003097,1.054973,3.2458,1583490135.04,23814399.79,135962326.96,True,False
278,1.032592,0.023931,0.93727,-1.7522,1849177804.94,284579585.14,336240952.31,False,False
279,0.926741,-0.0129,1.008314,1.6735,1659618654.18,70522331.3,174195829.72,True,False
280,1.043887,-0.028142,1.004274,-0.6116,1869406029.1,148322148.7,237841177.61,True,False
281,1.035483,0.003059,1.010496,1.331,1854356292.39,194391202.0,259273792.92,False,False
282,1.059533,-0.004056,1.057129,-4.637,1897424908.74,168252408.98,272366445.63,False,False
283,0.891427,-0.02058,1.007,-1.8672,1596378758.34,28095589.99,161121475.26,True,False
284,0.928638,-0.02246,1.100572,10.2695,1663016083.24,-12023196.71,78884122.68,True,False
285,1.119703,-0.005742,0.966717,-5.6272,2005177405.24,285836427.63,359132615.09,False,False
286,0.924635,0.021579,1.066879,2.3277,1655847129.47,82387098.38,179313581.87,True,False
287,1.022143,0.003693,0.942103,6.7093,1830466392.49,234053461.29,259359098.3,False,False
288,0.933908,-0.013034,1.073016,-3.6707,1672452964.86,28703045.76,170187479.77,True,False
289,1.050705,0.008937,1.025577,2.8716,1881615949.06,208141172.57,260582675.9,False,False
290,0.923609,0.023007,1.047597,-7.4746,1654009565.52,98060988.76,234402685.31,True,False
291,0.984864,-0.049086,0.98234,-0.8801,1763707085.8,77188485.77,190590973.64,True,False
292,0.860258,-0.012858,1.01972,-1.642,1540561364.61,3516306.0,143171607.14,True,False
293,1.076109,-0.012319,0.997817,0.2359,1927109542.87,211130482.58,276173292.75,False,False
294,0.946325,-0.030687,0.931273,2.1313,1694690577.69,114699016.95,201949780.18,True,False
295,0.971248,0.028181,0.985562,8.6196,1739323089.73,198070672.07,227463036.81,False,False
296,0.950952,0.001321,0.916239,1.4233,1702977108.53,184274590.95,252515752.15,False,False
297,1.045208,-0.002082,0.961288,5.0587,1871771637.8,230060925.14,264349773.7,False,False
298,0.985381,-0.002267,1.016798,0.7331,1764633000.94,134713963.49,221911258.54,True,False
299,1.107285,-0.019164,0.990484,6.5959,1982939974.06,230510828.62,254763853.39,False,False
300,0.916902,0.032798,0.978525,-4.8965,1642000068.58,158942988.12,263958468.22,False,False
