Month,CostCenterID,Department,BusinessUnit,Region,Version,PeriodStatus,SourceSystem,AccountKey,AmountTRY
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5010,262581.06
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5020,326532.39
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6000,1707038.98
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6010,315802.21
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6100,259692.24
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6200,236710.66
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6300,216367.28
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6400,275286.38
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6500,58824.14
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6600,36433.91
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A4010,9198835.2
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5000,4364536.16
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5010,160113.91
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5020,247574.91
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6000,1318082.57
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6010,243845.28
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6100,178241.53
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6200,160019.49
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6300,174781.85
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6400,214481.18
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6500,46461.54
2023-01-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6600,25462.56
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A4020,12248414.07
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A5000,6920293.98
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A5010,123966.95
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A5020,183187.22
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6000,740501.08
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6010,136992.7
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6100,245495.29
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6200,121053.02
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6300,89686.72
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6400,45410.27
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6500,25425.87
2023-01-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6600,14902.46
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A4020,10087703.07
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A5000,5973060.12
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A5010,122759.82
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A5020,179834.08
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6000,677731.53
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6010,125380.33
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6100,201775.17
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6200,102486.47
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6300,72530.97
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6400,36672.92
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6500,18895.52
2023-01-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6600,13164.0
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A4030,4217622.23
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A5000,885217.67
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A5010,105359.9
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A5020,77491.42
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6000,1067388.46
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6010,197466.87
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6100,270510.86
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6200,41601.44
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6300,527050.42
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6400,58574.03
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6500,29903.64
2023-01-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6600,20554.12
2023-01-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6000,1198780.15
2023-01-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6010,221774.33
2023-01-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6100,2883047.39
2023-01-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6300,184220.34
2023-01-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6400,65284.65
2023-01-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6500,240839.71
2023-01-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6600,124211.64
2023-01-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6000,1795456.16
2023-01-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6010,332159.39
2023-01-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6200,3052735.55
2023-01-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6300,311096.23
2023-01-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6400,851237.13
2023-01-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6500,180011.8
2023-01-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6600,89232.12
2023-01-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6000,2143578.1
2023-01-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6010,396561.95
2023-01-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6300,2755584.84
2023-01-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6400,190261.76
2023-01-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6500,768569.89
2023-01-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6600,151321.53
2023-01-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6000,1584313.09
2023-01-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6010,293097.92
2023-01-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6300,473658.81
2023-01-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6400,964883.1
2023-01-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6500,1053627.89
2023-01-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6600,228104.84
2023-01-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6800,420000.0
2023-01-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6900,378605.52
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A4000,17480397.69
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A5000,6563657.48
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A5010,495433.6
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A5020,532185.77
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6000,1396530.16
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6010,258358.08
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6100,875448.55
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6200,315208.58
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6300,161670.43
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6400,82692.13
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6500,44705.53
2023-02-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6600,27069.27
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A4000,11626896.09
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A5000,4648762.33
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A5010,371018.62
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A5020,364313.34
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6000,936060.62
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6010,173171.22
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6100,572959.83
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6200,202642.79
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6300,100522.84
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6400,50784.56
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6500,26032.17
2023-02-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6600,17732.78
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A4000,6300948.34
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A5000,2621707.81
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A5010,330956.81
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A5020,218654.83
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6000,574818.33
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6010,106341.39
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6100,306214.91
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6200,111851.45
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6300,64649.54
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6400,31478.11
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6500,16422.21
2023-02-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6600,11489.06
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A4010,14226912.11
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5000,6605141.92
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5010,287126.82
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5020,350891.01
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6000,1669292.13
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6010,308819.04
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6100,284890.36
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6200,257381.22
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6300,218939.63
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6400,280192.16
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6500,58778.68
2023-02-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6600,32379.53
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A4010,9544866.73
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5000,4429571.4
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5010,172510.31
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5020,254490.77
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6000,1336093.16
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6010,247177.23
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6100,188270.01
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6200,165023.37
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6300,164966.18
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6400,223762.5
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6500,42976.84
2023-02-01,CC-202,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A6600,29304.82
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A4020,13850328.01
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A5000,7852288.18
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A5010,138246.66
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A5020,213046.22
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6000,740522.24
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6010,136996.62
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6100,264814.93
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6200,135101.05
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6300,91983.88
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6400,45003.8
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6500,25205.39
2023-02-01,CC-301,Sales,Wholesale,Türkiye,Actual,Actual,Synthetic ERP,A6600,15087.5
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A4020,9962861.22
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A5000,5816909.57
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A5010,120313.26
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A5020,177922.72
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6000,666492.23
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6010,123301.06
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6100,202880.88
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6200,96809.28
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6300,71885.13
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6400,36959.3
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6500,19459.12
2023-02-01,CC-302,Sales,Wholesale,Europe,Actual,Actual,Synthetic ERP,A6600,12230.91
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A4030,4271921.19
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A5000,899796.06
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A5010,105918.38
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A5020,78849.99
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6000,1035815.04
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6010,191625.78
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6100,268357.36
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6200,41914.18
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6300,533752.3
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6400,59758.42
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6500,29051.74
2023-02-01,CC-401,Customer Success,Subscription Services,Türkiye,Actual,Actual,Synthetic ERP,A6600,20071.64
2023-02-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6000,1196954.19
2023-02-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6010,221436.52
2023-02-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6100,2885609.04
2023-02-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6300,182889.19
2023-02-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6400,66511.41
2023-02-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6500,245383.75
2023-02-01,CC-501,Marketing,Shared Services,Global,Actual,Actual,Synthetic ERP,A6600,113716.44
2023-02-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6000,1794304.03
2023-02-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6010,331946.25
2023-02-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6200,3177860.02
2023-02-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6300,316835.78
2023-02-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6400,865284.92
2023-02-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6500,190472.01
2023-02-01,CC-601,Operations,Shared Services,Türkiye,Actual,Actual,Synthetic ERP,A6600,87934.7
2023-02-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6000,2242118.05
2023-02-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6010,414791.84
2023-02-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6300,2793092.68
2023-02-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6400,193247.91
2023-02-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6500,679192.08
2023-02-01,CC-701,Technology,Shared Services,Global,Actual,Actual,Synthetic ERP,A6600,145863.68
2023-02-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6000,1586626.5
2023-02-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6010,293525.9
2023-02-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6300,466080.72
2023-02-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6400,989788.28
2023-02-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6500,1018062.19
2023-02-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6600,227027.99
2023-02-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6800,420000.0
2023-02-01,CC-801,Finance & Corporate,Shared Services,Global,Actual,Actual,Synthetic ERP,A6900,907670.07
2023-03-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A4000,20204497.72
2023-03-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A5000,7577363.3
2023-03-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A5010,573904.15
2023-03-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A5020,607111.69
2023-03-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6000,1384128.49
2023-03-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6010,256063.77
