Month,Version,DSO,DIO,DPO,CashConversionCycleDays,AccountsReceivableTRY,InventoryTRY,AccountsPayableTRY,NetWorkingCapitalTRY,ChangeInNWCTRY
2026-05-01,Forecast,31.0,60.0,48.0,43.0,147503814.66,142384629.6,113907703.68,175980740.58,-5094418.05
2026-06-01,Forecast,31.0,60.0,48.0,43.0,154429236.03,147743312.36,118194649.89,183977898.5,7997157.92
2026-07-01,Forecast,31.0,60.0,48.0,43.0,145259301.7,138041978.83,110433583.06,172867697.47,-11110201.04
2026-08-01,Forecast,31.0,60.0,48.0,43.0,141414653.24,134691025.18,107752820.14,168352858.28,-4514839.19
2026-09-01,Forecast,31.0,60.0,48.0,43.0,161345731.14,155053997.7,124043198.16,192356530.68,24003672.41
2026-10-01,Forecast,33.1,63.6,48.0,48.7,173183147.86,164788538.84,124368708.56,213602978.14,21246447.45
2026-11-01,Forecast,33.1,63.6,48.0,48.7,187232927.5,176775426.48,133415416.21,230592937.77,16989959.63
2026-12-01,Forecast,33.1,63.6,48.0,48.7,192349361.01,180616379.51,136314248.69,236651491.83,6058554.07
2027-01-01,Forecast,31.0,60.0,48.0,43.0,140249978.32,132952969.03,106362375.22,166840572.13,-69810919.71
2027-02-01,Forecast,31.0,60.0,48.0,43.0,160233141.83,152266360.95,121813088.76,190686414.02,23845841.9
2027-03-01,Forecast,31.0,60.0,48.0,43.0,157269809.4,150053924.23,120043139.38,187280594.25,-3405819.78
2027-04-01,Forecast,31.0,60.0,48.0,43.0,167791880.55,160036367.2,128029093.76,199799153.99,12518559.74
2027-05-01,Forecast,31.0,60.0,48.0,43.0,163557592.87,155291418.23,124233134.59,194615876.52,-5183277.47
2027-06-01,Forecast,31.0,60.0,48.0,43.0,171416991.96,162043214.56,129634571.65,203825634.87,9209758.35
