Month,COGSTRY,DepreciationTRY,InterestTRY,OperatingExpenseTRY,RevenueTRY,TaxTRY,GrossProfitTRY,EBITDATRY,EBITTRY,EBTTRY,NetIncomeTRY,GrossMarginPct,EBITDAMarginPct,NetIncomeMarginPct,Version,PeriodStatus,MonthKey,MonthLabel,Year,Quarter,RevenueGrowthPct,ForecastAccuracyPct,CashFromOperationsTRY,CapitalExpenditureTRY,EndingCashTRY,DSO,DIO,DPO,CashConversionCycleDays,NetWorkingCapitalTRY,FTE,Hires,Exits,PayrollCostTRY,CapexSpendTRY,CapexScheduleDepreciationTRY
2026-04-01,72629551.16000001,1265277.78,453035.52,64032416.55,147996801.45,2404130.11,75367250.28999998,11334833.73999998,10069555.95999998,9616520.43999998,7212390.329999981,0.5092491834390248,0.07658836967385,0.048733420312712994,Budget,Budget,2026-04,Apr 2026,2026,Q2,,,842661.4,3300000.0,244472144.2,29.0,56.0,50.0,35.0,157589484.97,233,0,0,25389269.55,3300000.0,1265277.78
2026-04-01,73359119.42999999,1253333.3399999999,500226.72,61761566.83,146836945.99,2490674.92,73477826.56000002,11716259.73000002,10462926.39000002,9962699.670000019,7472024.750000019,0.500404214107014,0.07979095214087283,0.0508865442523497,Forecast,Actual,2026-04,Apr 2026,2026,Q2,,1.0,-4430317.5,3193333.33,225457525.31,31.0,60.0,48.0,43.0,181075158.63,221,0,0,22044451.64,3193333.33,1253333.34
2026-05-01,73565391.96,1253333.3399999999,500226.72,61776283.7,147503814.66,2602144.74,73938422.7,12162139.0,10908805.66,10408578.94,7806434.199999999,0.501264478280985,0.08245304725192387,0.05292360891136291,Actual,Actual,2026-05,May 2026,2026,Q2,0.12091034518569166,,15156427.45,0.0,240927963.22,30.8,62.2,47.8,45.2,180724488.25,221,0,0,22026896.7,0.0,1253333.34
2026-05-01,73322341.28,1265277.78,453035.52,64749560.37,150116654.96,2581610.0,76794313.68,12044753.31000001,10779475.53000001,10326440.010000011,7744830.010000011,0.5115642478208868,0.08023595591847851,0.051592076922202225,Budget,Budget,2026-05,May 2026,2026,Q2,,,11976462.39,3300000.0,253148606.59,29.0,56.0,50.0,35.0,154623130.37,233,0,0,25389269.55,3300000.0,1265277.78
2026-05-01,73565391.96,1253333.3399999999,500226.72,61776283.7,147503814.66,2602144.74,73938422.7,12162139.0,10908805.66,10408578.94,7806434.199999999,0.501264478280985,0.08245304725192387,0.05292360891136291,Forecast,Actual,2026-05,May 2026,2026,Q2,,1.0,14154185.59,3193333.33,236418377.57,31.0,60.0,48.0,43.0,175980740.58,221,0,0,22026896.7,3193333.33,1253333.34
2026-06-01,73871656.18,1253333.3399999999,500226.72,62687035.5,149447647.77,2783849.01,75575991.59,12888956.090000004,11635622.750000004,11135396.030000003,8351547.020000003,0.505702115207002,0.08624395420285311,0.055882759913712644,Actual,Actual,2026-06,Jun 2026,2026,Q2,0.10546505557895136,,2304436.15,0.0,241232399.37,30.72,62.08,47.87,44.93,188024932.46,222,2,1,22216802.62,0.0,1253333.34
2026-06-01,75134077.62,1265277.78,453035.52,65508837.79,154217135.12,2963976.6,79083057.5,13574219.71,12308941.930000002,11855906.410000002,8891929.810000002,0.5128033109839811,0.08802017816916116,0.0576585072928568,Budget,Budget,2026-06,Jun 2026,2026,Q2,,,676958.49,3300000.0,248525565.08,29.0,56.0,50.0,35.0,164103379.47,234,1,0,25521901.09,3300000.0,1265277.78
2026-06-01,73871656.18,1253333.3399999999,500226.72,62687035.5,149447647.77,2783849.01,75575991.59,12888956.090000004,11635622.750000004,11135396.030000003,8351547.020000003,0.505702115207002,0.08624395420285311,0.055882759913712644,Forecast,Actual,2026-06,Jun 2026,2026,Q2,,1.0,1607722.44,3193333.33,232832766.68,31.0,60.0,48.0,43.0,183977898.5,222,2,1,22216802.62,3193333.33,1253333.34
2026-07-01,70836245.28,1265277.78,453035.52,64926579.31,145974807.99,2123417.53,75138562.71000001,10211983.400000006,8946705.620000007,8493670.100000007,6370252.570000008,0.514736506556305,0.06995716275029851,0.043639396809046674,Budget,Budget,2026-07,Jul 2026,2026,Q3,,,21471590.36,4544444.44,265452711.0,29.0,56.0,50.0,35.0,150267319.46,234,0,0,25521901.09,4544444.4399999995,1265277.78
2026-07-01,71321689.06,1253333.3399999999,453035.52,60915341.87,145259301.7,2828975.48,73937612.63999999,13022270.769999988,11768937.429999989,11315901.909999989,8486926.429999989,0.5090043238174261,0.08964844672663044,0.05842604453329813,Forecast,Forecast,2026-07,Jul 2026,2026,Q3,,,20850460.81,4398888.89,249284338.6,31.0,60.0,48.0,43.0,172867697.47,222,0,0,22102183.81,4398888.890000001,1253333.34
2026-08-01,68423637.38,1265277.78,453035.52,65718637.47,141032618.14,1293007.5,72608980.75999999,6890343.289999992,5625065.509999991,5172029.989999991,3879022.489999991,0.5148382106040367,0.04885638074987801,0.027504435081460166,Budget,Budget,2026-08,Aug 2026,2026,Q3,,,10234595.53,4544444.44,271142862.09,29.0,56.0,50.0,35.0,145177024.2,234,0,0,25521901.09,4544444.4399999995,1265277.78
2026-08-01,69590363.00999999,1253333.3399999999,453035.52,62001655.94,141414653.24,2029066.36,71824290.23000002,9822634.290000021,8569300.950000022,8116265.430000022,6087199.070000022,0.5078984997976438,0.06945980536634819,0.043045037628945085,Forecast,Forecast,2026-08,Aug 2026,2026,Q3,,,11855371.6,4398888.89,256740821.31,31.0,60.0,48.0,43.0,168352858.28,231,9,0,22997279.96,4398888.890000001,1253333.34
2026-09-01,79119027.39999999,1265277.78,453035.52,64988283.45,160770743.97,3736279.96,81651716.57000001,16663433.120000005,15398155.340000005,14945119.820000006,11208839.860000007,0.5078767103624047,0.10364717303982508,0.06971940032877866,Budget,Budget,2026-09,Sep 2026,2026,Q3,,,-13584382.81,4544444.44,251014034.84,29.0,56.0,50.0,35.0,171235524.65,228,0,6,24872559.16,4544444.4399999995,1265277.78
2026-09-01,77526998.85,1253333.3399999999,453035.52,62827371.72,156141030.14,3520072.68,78614031.28999999,15786659.569999993,14533326.229999993,14080290.709999993,10560218.029999994,0.5034809314343108,0.10110513268578589,0.0676325628217736,Forecast,Forecast,2026-09,Sep 2026,2026,Q3,,,-12190121.04,4398888.89,238151811.38,31.0,60.0,48.0,43.0,192356530.68,231,0,0,22997279.96,4398888.890000001,1253333.34
2026-10-01,82742164.75999999,1546527.78,453035.52,67531733.57,169327505.42,4263510.95,86585340.66,19053607.090000004,17507079.310000002,17054043.790000003,12790532.840000004,0.5113483509086943,0.1125251744702636,0.07553724250690615,Budget,Budget,2026-10,Oct 2026,2026,Q4,,,-5045750.15,4544444.44,241423840.25,30.5,59.0,50.0,39.5,190618335.42,238,10,0,25962624.65,4544444.4399999995,1546527.7799999998
2026-10-01,80321457.61,1522083.34,453035.52,62354921.61,162195697.39000002,4386049.83,81874239.78000002,19519318.170000017,17997234.830000017,17544199.310000017,13158149.480000017,0.5047867551204713,0.12034424145706998,0.08112514506695705,Forecast,Forecast,2026-10,Oct 2026,2026,Q4,,,-6566214.63,4398888.89,227186707.86,33.1,63.6,48.0,48.7,213602978.14,222,0,9,22092083.99,4398888.890000001,1522083.34
2026-11-01,86923644.82000001,1546527.78,453035.52,69092989.37,179394955.83,5344689.58,92471311.01,23378321.64,21831793.86,21378758.34,16034068.76,0.5154621576853508,0.13031760860742367,0.08937859309263053,Budget,Budget,2026-11,Nov 2026,2026,Q4,,,-263033.24,3044444.44,238116362.57,30.5,59.0,50.0,39.5,208461965.21,238,0,0,25962624.65,3044444.44,1546527.7799999998
2026-11-01,83384635.13,1522083.34,453035.52,64199261.42,169697517.37,5034625.49,86312882.24000001,22113620.820000008,20591537.480000008,20138501.96000001,15103876.470000008,0.5086278431039607,0.13031198784001402,0.08900469909096118,Forecast,Forecast,2026-11,Nov 2026,2026,Q4,,,-363999.82,2965555.56,223857152.48,33.1,63.6,48.0,48.7,230592937.77,231,9,0,22987180.14,2965555.56,1522083.34
2026-12-01,93027923.42,1546527.78,453035.52,69440067.73,193144991.24,7169359.2,100117067.82000001,30677000.090000004,29130472.310000002,28677436.790000003,21508077.590000004,0.5183518722242999,0.158828866816852,0.11135715946821673,Budget,Budget,2026-12,Dec 2026,2026,Q4,,,14478714.33,3044444.44,247550632.46,30.5,59.0,50.0,39.5,217037856.25,238,0,0,25962624.65,3044444.44,1546527.7799999998
2026-12-01,88036285.61,1522083.34,453035.52,65031545.47,180145927.23,6275744.32,92109641.61999999,27078096.14999999,25556012.80999999,25102977.28999999,18827232.96999999,0.5113057121874295,0.1503120085275546,0.10451101093150143,Forecast,Forecast,2026-12,Dec 2026,2026,Q4,,,14290762.24,2965555.56,233182359.16,33.1,63.6,48.0,48.7,236651491.83,231,0,0,22987180.14,2965555.56,1522083.34
