Month,BusinessUnit,Version,RevenueTRY,Transactions,AverageSellingPriceTRY,ActiveCustomers,TrafficOrLeads,ConversionRate,RefundOrChurnRate
2023-10-01,Digital Commerce,Actual,49292765.25,23241,2120.94,20751,482581,0.043,0.035
2023-10-01,Retail Stores,Actual,30153776.25,12015,2509.61,10728,97527,0.11,0.018
2023-10-01,Subscription Services,Actual,5185397.28,11114,466.56,8891,80827,0.11,0.062
2023-10-01,Wholesale,Actual,30592496.65,19331,1582.58,17260,156909,0.11,0.018
2023-11-01,Digital Commerce,Actual,55142179.64,25186,2189.36,22487,522953,0.043,0.035
2023-11-01,Retail Stores,Actual,33488248.69,12985,2578.95,11594,105400,0.11,0.018
2023-11-01,Subscription Services,Actual,5719859.92,12141,471.12,9713,88300,0.11,0.062
2023-11-01,Wholesale,Actual,27685579.61,17129,1616.33,15294,139036,0.11,0.018
2023-12-01,Digital Commerce,Actual,61117128.9,27600,2214.41,24643,573093,0.043,0.035
2023-12-01,Retail Stores,Actual,38982645.25,14843,2626.27,13253,120482,0.11,0.018
2023-12-01,Subscription Services,Actual,5598915.96,11671,479.73,9337,84882,0.11,0.062
2023-12-01,Wholesale,Actual,25112110.52,15394,1631.27,13745,124955,0.11,0.018
2024-01-01,Digital Commerce,Actual,39371144.5,17352,2268.97,15493,360302,0.043,0.035
2024-01-01,Retail Stores,Actual,25187877.76,9834,2561.43,8780,79818,0.11,0.018
2024-01-01,Subscription Services,Actual,5041250.67,10635,474.01,8508,77345,0.11,0.062
2024-01-01,Wholesale,Actual,25419774.36,15441,1646.22,13787,125336,0.11,0.018
2024-02-01,Digital Commerce,Actual,41525529.76,18591,2233.65,16599,386023,0.043,0.035
2024-02-01,Retail Stores,Actual,25936253.33,9880,2625.14,8821,80191,0.11,0.018
2024-02-01,Subscription Services,Actual,5178667.52,10600,488.56,8480,77091,0.11,0.062
2024-02-01,Wholesale,Actual,26564123.24,15879,1672.88,14178,128891,0.11,0.018
2024-03-01,Digital Commerce,Actual,44163051.82,18987,2325.99,16953,394256,0.043,0.035
2024-03-01,Retail Stores,Actual,30661112.61,11443,2679.43,10217,92882,0.11,0.018
2024-03-01,Subscription Services,Actual,5091665.82,10191,499.62,8153,74118,0.11,0.062
2024-03-01,Wholesale,Actual,29636671.11,17790,1665.96,15884,144400,0.11,0.018
2024-04-01,Digital Commerce,Actual,46472946.25,20011,2322.4,17867,415512,0.043,0.035
2024-04-01,Retail Stores,Actual,32597124.15,12329,2644.01,11008,100073,0.11,0.018
2024-04-01,Subscription Services,Actual,5708958.32,11422,499.84,9138,83073,0.11,0.062
2024-04-01,Wholesale,Actual,30163604.78,17515,1722.13,15638,142164,0.11,0.018
2024-05-01,Digital Commerce,Actual,48929470.87,20682,2365.82,18466,429442,0.043,0.035
2024-05-01,Retail Stores,Actual,32679485.84,12060,2709.67,10768,97891,0.11,0.018
2024-05-01,Subscription Services,Actual,5702611.08,11204,508.96,8963,81482,0.11,0.062
2024-05-01,Wholesale,Actual,28511238.17,16948,1682.32,15132,137564,0.11,0.018
2024-06-01,Digital Commerce,Actual,50528689.64,21310,2371.17,19027,442488,0.043,0.035
2024-06-01,Retail Stores,Actual,36180844.96,13182,2744.68,11770,107000,0.11,0.018
2024-06-01,Subscription Services,Actual,5964755.5,11591,514.59,9273,84300,0.11,0.062
2024-06-01,Wholesale,Actual,27647699.63,16009,1726.98,14294,129945,0.11,0.018
2024-07-01,Digital Commerce,Actual,47563525.83,19985,2379.93,17844,414977,0.043,0.035
2024-07-01,Retail Stores,Actual,34544056.99,12319,2804.04,10999,99991,0.11,0.018
2024-07-01,Subscription Services,Actual,6032576.53,11604,519.86,9283,84391,0.11,0.062
2024-07-01,Wholesale,Actual,24953025.01,14026,1779.1,12523,113845,0.11,0.018
2024-08-01,Digital Commerce,Actual,46127009.43,18538,2488.25,16552,384930,0.043,0.035
2024-08-01,Retail Stores,Actual,29386318.02,10595,2773.64,9460,86000,0.11,0.018
2024-08-01,Subscription Services,Actual,6262270.45,12010,521.43,9608,87345,0.11,0.062
2024-08-01,Wholesale,Actual,26508335.06,15014,1765.55,13405,121864,0.11,0.018
2024-09-01,Digital Commerce,Actual,50425016.12,20522,2457.13,18323,426116,0.043,0.035
2024-09-01,Retail Stores,Actual,33571915.06,11600,2894.07,10357,94155,0.11,0.018
2024-09-01,Subscription Services,Actual,6391142.62,12045,530.62,9636,87600,0.11,0.062
2024-09-01,Wholesale,Actual,35278379.93,19697,1791.03,17587,159882,0.11,0.018
2024-10-01,Digital Commerce,Actual,54780552.33,21640,2531.42,19321,449326,0.043,0.035
2024-10-01,Retail Stores,Actual,33845327.38,11811,2865.62,10546,95873,0.11,0.018
2024-10-01,Subscription Services,Actual,6504846.59,11906,546.37,9525,86591,0.11,0.062
2024-10-01,Wholesale,Actual,34318554.31,18731,1832.2,16724,152036,0.11,0.018
2024-11-01,Digital Commerce,Actual,63309548.99,25202,2512.12,22502,523302,0.043,0.035
2024-11-01,Retail Stores,Actual,35064951.42,12031,2914.44,10742,97655,0.11,0.018
2024-11-01,Subscription Services,Actual,6351966.55,11688,543.47,9350,85000,0.11,0.062
2024-11-01,Wholesale,Actual,30523113.63,16448,1855.69,14686,133509,0.11,0.018
2024-12-01,Digital Commerce,Actual,70098264.03,26844,2611.35,23968,557395,0.043,0.035
2024-12-01,Retail Stores,Actual,43436581.52,14721,2950.67,13144,119491,0.11,0.018
2024-12-01,Subscription Services,Actual,6669692.47,12215,546.02,9772,88836,0.11,0.062
2024-12-01,Wholesale,Actual,27799773.89,14890,1866.98,13295,120864,0.11,0.018
2025-01-01,Digital Commerce,Actual,46074687.31,18148,2538.87,16204,376837,0.043,0.035
2025-01-01,Retail Stores,Actual,27968044.39,9197,3041.09,8212,74655,0.11,0.018
2025-01-01,Subscription Services,Actual,6151609.15,11017,558.39,8814,80127,0.11,0.062
2025-01-01,Wholesale,Actual,27875701.38,14879,1873.48,13285,120773,0.11,0.018
2025-02-01,Digital Commerce,Actual,47117844.2,17800,2647.08,15893,369605,0.043,0.035
2025-02-01,Retail Stores,Actual,29025192.18,9483,3060.6,8467,76973,0.11,0.018
2025-02-01,Subscription Services,Actual,6257308.92,10956,571.13,8765,79682,0.11,0.062
2025-02-01,Wholesale,Actual,29782855.04,15486,1923.23,13827,125700,0.11,0.018
2025-03-01,Digital Commerce,Actual,53373456.95,20312,2627.72,18136,421767,0.043,0.035
2025-03-01,Retail Stores,Actual,33244791.69,10963,3032.54,9788,88982,0.11,0.018
2025-03-01,Subscription Services,Actual,6713853.35,11698,573.96,9358,85073,0.11,0.062
2025-03-01,Wholesale,Actual,34221597.98,17523,1952.9,15646,142236,0.11,0.018
2025-04-01,Digital Commerce,Actual,54195028.72,19942,2717.63,17805,414070,0.043,0.035
2025-04-01,Retail Stores,Actual,35191266.11,11230,3133.74,10027,91155,0.11,0.018
2025-04-01,Subscription Services,Actual,6773644.35,11750,576.5,9400,85455,0.11,0.062
2025-04-01,Wholesale,Actual,33609780.0,16917,1986.75,15104,137309,0.11,0.018
2025-05-01,Digital Commerce,Actual,56039021.18,20459,2739.05,18267,424814,0.043,0.035
2025-05-01,Retail Stores,Actual,36495499.88,11515,3169.27,10281,93464,0.11,0.018
2025-05-01,Subscription Services,Actual,7037750.21,12141,579.68,9713,88300,0.11,0.062
2025-05-01,Wholesale,Actual,32020603.48,16169,1980.37,14437,131245,0.11,0.018
2025-06-01,Digital Commerce,Actual,58100075.23,21283,2729.86,19003,441930,0.043,0.035
2025-06-01,Retail Stores,Actual,38691574.71,12067,3206.45,10774,97945,0.11,0.018
2025-06-01,Subscription Services,Actual,7229871.81,12117,596.66,9694,88127,0.11,0.062
2025-06-01,Wholesale,Actual,31168321.67,15694,1986.04,14012,127382,0.11,0.018
2025-07-01,Digital Commerce,Actual,54745033.11,19797,2765.35,17676,411070,0.043,0.035
2025-07-01,Retail Stores,Actual,37746356.09,11964,3154.87,10682,97109,0.11,0.018
2025-07-01,Subscription Services,Actual,7377543.37,12341,597.79,9873,89755,0.11,0.062
2025-07-01,Wholesale,Actual,28086383.26,13805,2034.45,12326,112055,0.11,0.018
2025-08-01,Digital Commerce,Actual,53237286.47,19003,2801.54,16967,394581,0.043,0.035
2025-08-01,Retail Stores,Actual,33302222.71,10138,3285.02,9052,82291,0.11,0.018
2025-08-01,Subscription Services,Actual,7712089.4,12528,615.57,10022,91109,0.11,0.062
2025-08-01,Wholesale,Actual,29261471.63,14344,2039.93,12807,116427,0.11,0.018
2025-09-01,Digital Commerce,Actual,57980208.12,20048,2892.08,17900,416279,0.043,0.035
2025-09-01,Retail Stores,Actual,36835915.08,11042,3335.94,9859,89627,0.11,0.018
2025-09-01,Subscription Services,Actual,7602566.82,12404,612.93,9923,90209,0.11,0.062
2025-09-01,Wholesale,Actual,38541353.18,18732,2057.5,16725,152045,0.11,0.018
2025-10-01,Digital Commerce,Actual,63728692.75,21671,2940.69,19349,449977,0.043,0.035
2025-10-01,Retail Stores,Actual,37542396.49,11430,3284.62,10205,92773,0.11,0.018
2025-10-01,Subscription Services,Actual,8523723.71,13597,626.88,10878,98891,0.11,0.062
2025-10-01,Wholesale,Actual,38513905.04,18318,2102.56,16355,148682,0.11,0.018
2025-11-01,Digital Commerce,Actual,75602109.88,26156,2890.4,23354,543116,0.043,0.035
2025-11-01,Retail Stores,Actual,39177328.7,11691,3351.02,10438,94891,0.11,0.018
2025-11-01,Subscription Services,Actual,7731528.07,12325,627.3,9860,89636,0.11,0.062
2025-11-01,Wholesale,Actual,34409829.59,16223,2121.01,14485,131682,0.11,0.018
2025-12-01,Digital Commerce,Actual,82418811.2,27932,2950.71,24939,579977,0.043,0.035
2025-12-01,Retail Stores,Actual,46489799.42,13654,3404.78,12191,110827,0.11,0.018
2025-12-01,Subscription Services,Actual,8079889.32,12669,637.77,10135,92136,0.11,0.062
2025-12-01,Wholesale,Actual,32017405.53,14676,2181.55,13104,119127,0.11,0.018
2026-01-01,Digital Commerce,Actual,54277518.66,18182,2985.23,16234,377535,0.043,0.035
2026-01-01,Retail Stores,Actual,30374320.33,8607,3528.91,7685,69864,0.11,0.018
2026-01-01,Subscription Services,Actual,7849410.62,12276,639.4,9821,89282,0.11,0.062
2026-01-01,Wholesale,Actual,31650454.41,14354,2204.94,12816,116509,0.11,0.018
2026-02-01,Digital Commerce,Actual,55936035.58,18244,3065.97,16289,378814,0.043,0.035
2026-02-01,Retail Stores,Actual,30572611.7,8851,3454.11,7903,71845,0.11,0.018
2026-02-01,Subscription Services,Actual,8208619.7,12656,648.6,10125,92045,0.11,0.062
2026-02-01,Wholesale,Actual,32628750.58,14669,2224.36,13097,119064,0.11,0.018
2026-03-01,Digital Commerce,Actual,59887618.57,19489,3072.83,17401,404674,0.043,0.035
2026-03-01,Retail Stores,Actual,35772229.58,9968,3588.57,8900,80909,0.11,0.018
2026-03-01,Subscription Services,Actual,7896588.06,11889,664.21,9511,86464,0.11,0.062
2026-03-01,Wholesale,Actual,37115484.52,16565,2240.54,14790,134455,0.11,0.018
2026-04-01,Digital Commerce,Actual,63255576.46,20359,3107.08,18178,422744,0.043,0.035
2026-04-01,Retail Stores,Actual,36706211.22,10228,3588.81,9132,83018,0.11,0.018
2026-04-01,Subscription Services,Actual,8121340.74,12304,660.06,9843,89482,0.11,0.062
2026-04-01,Wholesale,Actual,38753817.57,17080,2268.97,15250,138636,0.11,0.018
2026-05-01,Digital Commerce,Actual,63396247.09,20166,3143.73,18005,418721,0.043,0.035
2026-05-01,Retail Stores,Actual,38998954.64,10676,3653.07,9532,86655,0.11,0.018
2026-05-01,Subscription Services,Actual,8438863.52,12549,672.49,10039,91264,0.11,0.062
2026-05-01,Wholesale,Actual,36669749.41,15887,2308.12,14185,128955,0.11,0.018
2026-06-01,Digital Commerce,Actual,66145683.41,20974,3153.7,18727,435512,0.043,0.035
2026-06-01,Retail Stores,Actual,41596842.63,11404,3647.46,10182,92564,0.11,0.018
2026-06-01,Subscription Services,Actual,8291553.7,12094,685.6,9675,87955,0.11,0.062
2026-06-01,Wholesale,Actual,33413568.03,14258,2343.45,12730,115727,0.11,0.018
2026-01-01,Digital Commerce,Budget,53677010.71,17750,3024.1,15848,368558,0.043,0.035
2026-01-01,Retail Stores,Budget,30904689.05,8833,3498.71,7887,71700,0.11,0.018
2026-01-01,Subscription Services,Budget,7412689.03,11604,638.81,9283,84391,0.11,0.062
2026-01-01,Wholesale,Budget,31360164.06,14454,2169.58,12905,117318,0.11,0.018
2026-02-01,Digital Commerce,Budget,54892288.5,18368,2988.43,16400,381395,0.043,0.035
2026-02-01,Retail Stores,Budget,32072837.35,9156,3502.9,8175,74318,0.11,0.018
2026-02-01,Subscription Services,Budget,7540057.25,11830,637.35,9464,86036,0.11,0.062
2026-02-01,Wholesale,Budget,33505711.92,15109,2217.6,13490,122636,0.11,0.018
2026-03-01,Digital Commerce,Budget,62180077.35,20425,3044.28,18237,424116,0.043,0.035
2026-03-01,Retail Stores,Budget,36735494.82,10373,3541.43,9262,84200,0.11,0.018
2026-03-01,Subscription Services,Budget,8090193.29,12381,653.46,9905,90045,0.11,0.062
2026-03-01,Wholesale,Budget,38499297.72,16992,2265.74,15171,137918,0.11,0.018
2026-04-01,Digital Commerce,Budget,63137208.46,20462,3085.52,18270,424884,0.043,0.035
2026-04-01,Retail Stores,Budget,38886349.05,10877,3575.2,9712,88291,0.11,0.018
2026-04-01,Subscription Services,Budget,8162241.44,12094,674.9,9675,87955,0.11,0.062
2026-04-01,Wholesale,Budget,37811002.5,16381,2308.25,14626,132964,0.11,0.018
2026-05-01,Digital Commerce,Budget,65285459.67,20952,3115.88,18707,435047,0.043,0.035
2026-05-01,Retail Stores,Budget,40327527.37,11067,3644.05,9881,89827,0.11,0.018
2026-05-01,Subscription Services,Budget,8480489.0,12498,678.56,9998,90891,0.11,0.062
2026-05-01,Wholesale,Budget,36023178.92,15817,2277.44,14122,128382,0.11,0.018
2026-06-01,Digital Commerce,Budget,67686587.65,20703,3269.37,18485,429884,0.043,0.035
2026-06-01,Retail Stores,Budget,42754190.06,11716,3649.13,10461,95100,0.11,0.018
2026-06-01,Subscription Services,Budget,8711995.53,12786,681.39,10229,92991,0.11,0.062
2026-06-01,Wholesale,Budget,35064361.88,15027,2333.44,13417,121973,0.11,0.018
2026-07-01,Digital Commerce,Budget,63777963.58,19601,3253.77,17501,407000,0.043,0.035
2026-07-01,Retail Stores,Budget,41709723.48,11113,3753.14,9922,90200,0.11,0.018
2026-07-01,Subscription Services,Budget,8889939.76,12695,700.28,10156,92327,0.11,0.062
2026-07-01,Wholesale,Budget,31597181.17,13460,2347.5,12018,109255,0.11,0.018
2026-08-01,Digital Commerce,Budget,62021438.73,19402,3196.68,17323,402860,0.043,0.035
2026-08-01,Retail Stores,Budget,36798956.09,9890,3720.9,8830,80273,0.11,0.018
2026-08-01,Subscription Services,Budget,9293067.73,13211,703.43,10569,96082,0.11,0.062
2026-08-01,Wholesale,Budget,32919155.59,13955,2358.96,12460,113273,0.11,0.018
2026-09-01,Digital Commerce,Budget,67546942.46,20372,3315.63,18189,423000,0.043,0.035
2026-09-01,Retail Stores,Budget,40703686.16,10790,3772.23,9634,87582,0.11,0.018
2026-09-01,Subscription Services,Budget,9161093.02,12872,711.72,10298,93618,0.11,0.062
2026-09-01,Wholesale,Budget,43359022.33,18040,2403.5,16107,146427,0.11,0.018
2026-10-01,Digital Commerce,Budget,74243927.06,22255,3336.02,19871,462116,0.043,0.035
2026-10-01,Retail Stores,Budget,41484348.12,10738,3863.35,9587,87155,0.11,0.018
2026-10-01,Subscription Services,Budget,10271087.07,14124,727.23,11299,102718,0.11,0.062
2026-10-01,Wholesale,Budget,43328143.17,18046,2401.01,16112,146473,0.11,0.018
2026-11-01,Digital Commerce,Budget,88076458.01,26348,3342.81,23525,547093,0.043,0.035
2026-11-01,Retail Stores,Budget,43290948.21,11076,3908.68,9889,89900,0.11,0.018
2026-11-01,Subscription Services,Budget,9316491.32,12923,720.93,10338,93982,0.11,0.062
2026-11-01,Wholesale,Budget,38711058.29,15663,2471.47,13985,127136,0.11,0.018
2026-12-01,Digital Commerce,Budget,96017915.04,28167,3408.87,25149,584860,0.043,0.035
2026-12-01,Retail Stores,Budget,51371228.35,13228,3883.39,11811,107373,0.11,0.018
2026-12-01,Subscription Services,Budget,9736266.63,13041,746.58,10433,94845,0.11,0.062
2026-12-01,Wholesale,Budget,36019581.22,14315,2516.24,12781,116191,0.11,0.018
