Month,COGSTRY,DepreciationTRY,InterestTRY,OperatingExpenseTRY,RevenueTRY,TaxTRY,GrossProfitTRY,EBITDATRY,EBITTRY,EBTTRY,NetIncomeTRY,GrossMarginPct,EBITDAMarginPct,NetIncomeMarginPct,Version,PeriodStatus,MonthKey,MonthLabel,Year,Quarter,RevenueGrowthPct,ForecastAccuracyPct
2024-12-01,72698064.77,754375.0,445200.0,53310862.41,148004311.91,5198952.43,75306247.14,21995384.730000004,21241009.730000004,20795809.730000004,15596857.300000004,0.5088111702163989,0.1486131346185048,0.10538110071741899,Actual,Actual,2024-12,Dec 2024,2024,Q4,0.1314380096841703,
2025-01-01,53565143.269999996,754375.0,471912.0,51598934.94,108070042.23,419919.26,54504898.96000001,2905964.0200000107,2151589.0200000107,1679677.0200000107,1259757.7600000107,0.5043479010029439,0.02688963527760445,0.011656863770987819,Actual,Actual,2025-01,Jan 2025,2025,Q1,0.1373393858684533,
2025-02-01,56145534.870000005,754375.0,471912.0,52288908.82,112183200.34,630617.41,56037665.47,3748756.6499999985,2994381.6499999985,2522469.6499999985,1891852.2399999984,0.49951922658796916,0.033416381763387286,0.01686395319679109,Actual,Actual,2025-02,Feb 2025,2025,Q1,0.13082689624395782,
2025-03-01,64240994.25,754375.0,471912.0,52668065.78,127553699.97,2354588.24,63312705.72,10644639.939999998,9890264.939999998,9418352.939999998,7063764.699999997,0.49636118540576113,0.08345222398490647,0.0553787518642059,Actual,Actual,2025-03,Mar 2025,2025,Q1,0.1643157243014135,
2025-04-01,64709433.81,754375.0,471912.0,54649285.07,129769719.18,2296178.32,65060285.370000005,10411000.300000004,9656625.300000004,9184713.300000004,6888534.980000004,0.5013518236851285,0.08022673059467127,0.05308276093627903,Actual,Actual,2025-04,Apr 2025,2025,Q2,0.12899552784302615,
2025-05-01,65439032.4,754375.0,471912.0,55221824.89,131592874.75,2426432.61,66153842.35,10932017.46,10177642.46,9705730.46,7279297.8500000015,0.5027159903275842,0.08307453941384467,0.05531680848092424,Actual,Actual,2025-05,May 2025,2025,Q2,0.13615685321461002,
2025-06-01,67226710.39,949166.6699999999,471912.0,55912973.31,135189843.42,2657270.26,67963133.02999999,12050159.719999984,11100993.049999984,10629081.049999984,7971810.789999984,0.5027236611174706,0.0891350963590012,0.058967527355095924,Actual,Actual,2025-06,Jun 2025,2025,Q2,0.12356721928687464,
2025-07-01,63574446.65,949166.6699999999,471912.0,55491140.84,127955315.83,1867162.42,64380869.18,8889728.339999996,7940561.669999996,7468649.669999996,5601487.249999996,0.5031511880720587,0.0694752561262151,0.04377690144145375,Actual,Actual,2025-07,Jul 2025,2025,Q3,0.1314149173012109,
2025-08-01,60871615.46,949166.6699999999,471912.0,56336898.81,123513070.21000001,1220869.32,62641454.75000001,6304555.940000005,5355389.270000005,4883477.270000005,3662607.950000005,0.5071645830153476,0.051043633918911105,0.029653606244041602,Actual,Actual,2025-08,Aug 2025,2025,Q3,0.14064078422073623,
2025-09-01,71022816.58,1083333.3399999999,471912.0,56380986.160000004,140960043.2,3000248.78,69937226.61999999,13556240.459999986,12472907.119999986,12000995.119999986,9000746.339999987,0.49614929899510696,0.09617080239373811,0.06385317523795983,Actual,Actual,2025-09,Sep 2025,2025,Q3,0.12169985716998855,
2025-10-01,73903140.51,1083333.3399999999,471912.0,57774802.92,148308717.99,3768882.31,74405577.48,16630774.560000002,15547441.220000003,15075529.220000003,11306646.910000002,0.5016938888583539,0.11213618987065456,0.07623723718495344,Actual,Actual,2025-10,Oct 2025,2025,Q4,0.14568978128831023,
2025-11-01,77500446.06,1083333.3399999999,471912.0,59339434.71,156920796.24,4631417.53,79420350.18,20080915.470000006,18997582.130000006,18525670.130000006,13894252.600000005,0.5061174304681185,0.1279684780549263,0.08854309264878864,Actual,Actual,2025-11,Nov 2025,2025,Q4,0.16023129650726853,
2025-12-01,83208857.81,1083333.3399999999,471912.0,59608845.49,169005905.47,6158239.21,85797047.66,26188202.169999994,25104868.829999994,24632956.829999994,18474717.619999994,0.5076570988534463,0.15495436148915295,0.10931403591266468,Actual,Actual,2025-12,Dec 2025,2025,Q4,0.14189852504277622,
2026-01-01,61386250.82,1083333.3399999999,500226.72,58369581.9,124151704.02,703077.81,62765453.199999996,4395871.299999997,3312537.959999997,2812311.2399999974,2109233.4299999974,0.5055545044302324,0.0354072570706871,0.01698916214359985,Actual,Actual,2026-01,Jan 2026,2026,Q1,0.1488077681673725,
2026-02-01,63143968.9,1083333.3399999999,500226.72,59207827.83,127346017.56,852665.19,64202048.660000004,4994220.830000006,3910887.490000006,3410660.770000006,2557995.580000006,0.5041543496226786,0.039217722907172514,0.020086969573232142,Actual,Actual,2026-02,Feb 2026,2026,Q1,0.13516121107300538,
2026-03-01,70389535.96,1253333.3399999999,500226.72,59401380.09,140671920.73,2281861.16,70282384.77,10881004.679999992,9627671.339999992,9127444.619999992,6845583.459999992,0.4996191450666062,0.07735022471815504,0.04866346762364274,Actual,Actual,2026-03,Mar 2026,2026,Q1,0.10284469022133691,
2026-04-01,73359119.42999999,1253333.3399999999,500226.72,61761566.83,146836945.99,2490674.92,73477826.56000002,11716259.73000002,10462926.39000002,9962699.670000019,7472024.750000019,0.500404214107014,0.07979095214087283,0.0508865442523497,Actual,Actual,2026-04,Apr 2026,2026,Q2,0.1315193322282413,
2026-05-01,73565391.96,1253333.3399999999,500226.72,61776283.7,147503814.66,2602144.74,73938422.7,12162139.0,10908805.66,10408578.94,7806434.199999999,0.501264478280985,0.08245304725192387,0.05292360891136291,Actual,Actual,2026-05,May 2026,2026,Q2,0.12091034518569166,
2026-06-01,73871656.18,1253333.3399999999,500226.72,62687035.5,149447647.77,2783849.01,75575991.59,12888956.090000004,11635622.750000004,11135396.030000003,8351547.020000003,0.505702115207002,0.08624395420285311,0.055882759913712644,Actual,Actual,2026-06,Jun 2026,2026,Q2,0.10546505557895136,
2026-01-01,60286219.86,1090277.78,453035.52,60713923.120000005,123354552.85,202774.14,63068332.989999995,2354409.86999999,1264132.0899999898,811096.5699999898,608322.4299999898,0.5112768968218914,0.019086525917393328,0.004931495562548989,Budget,Budget,2026-01,Jan 2026,2026,Q1,,
2026-02-01,62736248.71,1090277.78,453035.52,63018608.43,128010895.02,178181.14,65274646.309999995,2256037.879999995,1165760.0999999952,712724.5799999952,534543.4399999952,0.5099147717059684,0.017623795846810692,0.004175765194958444,Budget,Budget,2026-02,Feb 2026,2026,Q1,,
2026-03-01,71490332.28,1265277.78,453035.52,63682086.23,145505063.18,2153582.84,74014730.9,10332644.67000001,9067366.89000001,8614331.37000001,6460748.5300000105,0.5086746074838548,0.07101226888041552,0.044402224835348926,Budget,Budget,2026-03,Mar 2026,2026,Q1,,
2026-04-01,72629551.16000001,1265277.78,453035.52,64032416.55,147996801.45,2404130.11,75367250.28999998,11334833.73999998,10069555.95999998,9616520.43999998,7212390.329999981,0.5092491834390248,0.07658836967385,0.048733420312712994,Budget,Budget,2026-04,Apr 2026,2026,Q2,,
2026-05-01,73322341.28,1265277.78,453035.52,64749560.37,150116654.96,2581610.0,76794313.68,12044753.31000001,10779475.53000001,10326440.010000011,7744830.010000011,0.5115642478208868,0.08023595591847851,0.051592076922202225,Budget,Budget,2026-05,May 2026,2026,Q2,,
2026-06-01,75134077.62,1265277.78,453035.52,65508837.79,154217135.12,2963976.6,79083057.5,13574219.71,12308941.930000002,11855906.410000002,8891929.810000002,0.5128033109839811,0.08802017816916116,0.0576585072928568,Budget,Budget,2026-06,Jun 2026,2026,Q2,,
2026-07-01,70836245.28,1265277.78,453035.52,64926579.31,145974807.99,2123417.53,75138562.71000001,10211983.400000006,8946705.620000007,8493670.100000007,6370252.570000008,0.514736506556305,0.06995716275029851,0.043639396809046674,Budget,Budget,2026-07,Jul 2026,2026,Q3,,
2026-08-01,68423637.38,1265277.78,453035.52,65718637.47,141032618.14,1293007.5,72608980.75999999,6890343.289999992,5625065.509999991,5172029.989999991,3879022.489999991,0.5148382106040367,0.04885638074987801,0.027504435081460166,Budget,Budget,2026-08,Aug 2026,2026,Q3,,
2026-09-01,79119027.39999999,1265277.78,453035.52,64988283.45,160770743.97,3736279.96,81651716.57000001,16663433.120000005,15398155.340000005,14945119.820000006,11208839.860000007,0.5078767103624047,0.10364717303982508,0.06971940032877866,Budget,Budget,2026-09,Sep 2026,2026,Q3,,
2026-10-01,82742164.75999999,1546527.78,453035.52,67531733.57,169327505.42,4263510.95,86585340.66,19053607.090000004,17507079.310000002,17054043.790000003,12790532.840000004,0.5113483509086943,0.1125251744702636,0.07553724250690615,Budget,Budget,2026-10,Oct 2026,2026,Q4,,
2026-11-01,86923644.82000001,1546527.78,453035.52,69092989.37,179394955.83,5344689.58,92471311.01,23378321.64,21831793.86,21378758.34,16034068.76,0.5154621576853508,0.13031760860742367,0.08937859309263053,Budget,Budget,2026-11,Nov 2026,2026,Q4,,
2026-12-01,93027923.42,1546527.78,453035.52,69440067.73,193144991.24,7169359.2,100117067.82000001,30677000.090000004,29130472.310000002,28677436.790000003,21508077.590000004,0.5183518722242999,0.158828866816852,0.11135715946821673,Budget,Budget,2026-12,Dec 2026,2026,Q4,,
2026-01-01,61386250.82,1083333.3399999999,500226.72,58369581.9,124151704.02,703077.81,62765453.199999996,4395871.299999997,3312537.959999997,2812311.2399999974,2109233.4299999974,0.5055545044302324,0.0354072570706871,0.01698916214359985,Forecast,Actual,2026-01,Jan 2026,2026,Q1,,1.0
2026-02-01,63143968.9,1083333.3399999999,500226.72,59207827.83,127346017.56,852665.19,64202048.660000004,4994220.830000006,3910887.490000006,3410660.770000006,2557995.580000006,0.5041543496226786,0.039217722907172514,0.020086969573232142,Forecast,Actual,2026-02,Feb 2026,2026,Q1,,1.0
2026-03-01,70389535.96,1253333.3399999999,500226.72,59401380.09,140671920.73,2281861.16,70282384.77,10881004.679999992,9627671.339999992,9127444.619999992,6845583.459999992,0.4996191450666062,0.07735022471815504,0.04866346762364274,Forecast,Actual,2026-03,Mar 2026,2026,Q1,,1.0
2026-04-01,73359119.42999999,1253333.3399999999,500226.72,61761566.83,146836945.99,2490674.92,73477826.56000002,11716259.73000002,10462926.39000002,9962699.670000019,7472024.750000019,0.500404214107014,0.07979095214087283,0.0508865442523497,Forecast,Actual,2026-04,Apr 2026,2026,Q2,,1.0
2026-05-01,73565391.96,1253333.3399999999,500226.72,61776283.7,147503814.66,2602144.74,73938422.7,12162139.0,10908805.66,10408578.94,7806434.199999999,0.501264478280985,0.08245304725192387,0.05292360891136291,Forecast,Actual,2026-05,May 2026,2026,Q2,,1.0
2026-06-01,73871656.18,1253333.3399999999,500226.72,62687035.5,149447647.77,2783849.01,75575991.59,12888956.090000004,11635622.750000004,11135396.030000003,8351547.020000003,0.505702115207002,0.08624395420285311,0.055882759913712644,Forecast,Actual,2026-06,Jun 2026,2026,Q2,,1.0
2026-07-01,71321689.06,1253333.3399999999,453035.52,60915341.87,145259301.7,2828975.48,73937612.63999999,13022270.769999988,11768937.429999989,11315901.909999989,8486926.429999989,0.5090043238174261,0.08964844672663044,0.05842604453329813,Forecast,Forecast,2026-07,Jul 2026,2026,Q3,,
2026-08-01,69590363.00999999,1253333.3399999999,453035.52,62001655.94,141414653.24,2029066.36,71824290.23000002,9822634.290000021,8569300.950000022,8116265.430000022,6087199.070000022,0.5078984997976438,0.06945980536634819,0.043045037628945085,Forecast,Forecast,2026-08,Aug 2026,2026,Q3,,
2026-09-01,77526998.85,1253333.3399999999,453035.52,62827371.72,156141030.14,3520072.68,78614031.28999999,15786659.569999993,14533326.229999993,14080290.709999993,10560218.029999994,0.5034809314343108,0.10110513268578589,0.0676325628217736,Forecast,Forecast,2026-09,Sep 2026,2026,Q3,,
2026-10-01,80321457.61,1522083.34,453035.52,62354921.61,162195697.39000002,4386049.83,81874239.78000002,19519318.170000017,17997234.830000017,17544199.310000017,13158149.480000017,0.5047867551204713,0.12034424145706998,0.08112514506695705,Forecast,Forecast,2026-10,Oct 2026,2026,Q4,,
2026-11-01,83384635.13,1522083.34,453035.52,64199261.42,169697517.37,5034625.49,86312882.24000001,22113620.820000008,20591537.480000008,20138501.96000001,15103876.470000008,0.5086278431039607,0.13031198784001402,0.08900469909096118,Forecast,Forecast,2026-11,Nov 2026,2026,Q4,,
2026-12-01,88036285.61,1522083.34,453035.52,65031545.47,180145927.23,6275744.32,92109641.61999999,27078096.14999999,25556012.80999999,25102977.28999999,18827232.96999999,0.5113057121874295,0.1503120085275546,0.10451101093150143,Forecast,Forecast,2026-12,Dec 2026,2026,Q4,,
2027-01-01,68692367.33,1766527.78,453035.52,63065718.51,140249978.32,1568082.29,71557610.99,8491892.479999997,6725364.699999996,6272329.179999996,4704246.889999996,0.5102147739854281,0.060548262336444385,0.03354187249331759,Forecast,Forecast,2027-01,Jan 2027,2027,Q1,0.12966615663532632,
2027-02-01,71057635.11,1766527.78,453035.52,64553959.269999996,144726708.75,1723887.77,73669073.64,9115114.370000005,7348586.5900000045,6895551.070000004,5171663.3000000045,0.5090219647518931,0.06298156331147829,0.03573399370902231,Forecast,Forecast,2027-02,Feb 2027,2027,Q1,0.13648397902832698,
2027-03-01,77527860.85,1992569.4500000002,453035.52,65342646.19,157269809.4,2988424.35,79741948.55000001,14399302.360000014,12406732.910000015,11953697.390000015,8965273.040000016,0.5070391377354846,0.0915579564503498,0.05700568388938364,Forecast,Forecast,2027-03,Mar 2027,2027,Q1,0.11799006215218544,
2027-04-01,80018183.6,1992569.4500000002,453035.52,70071211.15,162379239.24,2461059.88,82361055.64000002,12289844.49000001,10297275.04000001,9844239.52000001,7383179.640000011,0.5072141982280666,0.07568605782070056,0.04546874141396556,Forecast,Forecast,2027-04,Apr 2027,2027,Q2,0.10584729303113183,
2027-05-01,80233899.42,1992569.4500000002,453035.52,70430917.5,163557592.87,2611792.75,83323693.45,12892775.950000003,10900206.500000004,10447170.980000004,7835378.230000004,0.5094455841999822,0.07882713192194954,0.04790592776837804,Forecast,Forecast,2027-05,May 2027,2027,Q2,0.10883635956808546,
2027-06-01,81021607.28,1822777.78,453035.52,70838480.28,165887411.57,2937877.68,84865804.28999999,14027324.00999999,12204546.229999991,11751510.709999992,8813633.029999992,0.5115867653055092,0.08455930367013316,0.05313021010205393,Forecast,Forecast,2027-06,Jun 2027,2027,Q2,0.11000349651070307,
