Month,Scenario,COGSTRY,DepreciationTRY,InterestTRY,OperatingExpenseTRY,RevenueTRY,TaxTRY,GrossProfitTRY,EBITDATRY,EBITTRY,EBTTRY,NetIncomeTRY,GrossMarginPct,EBITDAMarginPct,NetIncomeMarginPct
2026-11-01,Base,83384635.13,1522083.34,453035.52,64199261.42,169697517.37,5034625.49,86312882.24000001,22113620.820000008,20591537.480000008,20138501.96000001,15103876.470000008,0.5086278431039607,0.13031198784001402,0.08900469909096118
2026-12-01,Base,88036285.61,1522083.34,453035.52,65031545.47,180145927.23,6275744.32,92109641.61999999,27078096.14999999,25556012.80999999,25102977.28999999,18827232.96999999,0.5113057121874295,0.1503120085275546,0.10451101093150143
2027-01-01,Base,68692367.33,1766527.78,453035.52,63065718.51,140249978.32,1568082.29,71557610.99,8491892.479999997,6725364.699999996,6272329.179999996,4704246.889999996,0.5102147739854281,0.060548262336444385,0.03354187249331759
2027-02-01,Base,71057635.11,1766527.78,453035.52,64553959.269999996,144726708.75,1723887.77,73669073.64,9115114.370000005,7348586.5900000045,6895551.070000004,5171663.3000000045,0.5090219647518931,0.06298156331147829,0.03573399370902231
2027-03-01,Base,77527860.85,1992569.4500000002,453035.52,65342646.19,157269809.4,2988424.35,79741948.55000001,14399302.360000014,12406732.910000015,11953697.390000015,8965273.040000016,0.5070391377354846,0.0915579564503498,0.05700568388938364
2027-04-01,Base,80018183.6,1992569.4500000002,453035.52,70071211.15,162379239.24,2461059.88,82361055.64000002,12289844.49000001,10297275.04000001,9844239.52000001,7383179.640000011,0.5072141982280666,0.07568605782070056,0.04546874141396556
2027-05-01,Base,80233899.42,1992569.4500000002,453035.52,70430917.5,163557592.87,2611792.75,83323693.45,12892775.950000003,10900206.500000004,10447170.980000004,7835378.230000004,0.5094455841999822,0.07882713192194954,0.04790592776837804
2027-06-01,Base,81021607.28,1822777.78,453035.52,70838480.28,165887411.57,2937877.68,84865804.28999999,14027324.00999999,12204546.229999991,11751510.709999992,8813633.029999992,0.5115867653055092,0.08455930367013316,0.05313021010205393
2026-01-01,Downside,61386250.82,1083333.3399999999,500226.72,58369581.9,124151704.02,703077.81,62765453.199999996,4395871.299999997,3312537.959999997,2812311.2399999974,2109233.4299999974,0.5055545044302324,0.0354072570706871,0.01698916214359985
2026-02-01,Downside,63143968.9,1083333.3399999999,500226.72,59207827.83,127346017.56,852665.19,64202048.660000004,4994220.830000006,3910887.490000006,3410660.770000006,2557995.580000006,0.5041543496226786,0.039217722907172514,0.020086969573232142
2026-03-01,Downside,70389535.96,1253333.3399999999,500226.72,59401380.09,140671920.73,2281861.16,70282384.77,10881004.679999992,9627671.339999992,9127444.619999992,6845583.459999992,0.4996191450666062,0.07735022471815504,0.04866346762364274
2026-04-01,Downside,73359119.42999999,1253333.3399999999,500226.72,61761566.83,146836945.99,2490674.92,73477826.56000002,11716259.73000002,10462926.39000002,9962699.670000019,7472024.750000019,0.500404214107014,0.07979095214087283,0.0508865442523497
2026-05-01,Downside,73565391.96,1253333.3399999999,500226.72,61776283.7,147503814.66,2602144.74,73938422.7,12162139.0,10908805.66,10408578.94,7806434.199999999,0.501264478280985,0.08245304725192387,0.05292360891136291
2026-06-01,Downside,73871656.18,1253333.3399999999,500226.72,62687035.5,149447647.77,2783849.01,75575991.59,12888956.090000004,11635622.750000004,11135396.030000003,8351547.020000003,0.505702115207002,0.08624395420285311,0.055882759913712644
2026-07-01,Downside,65794258.15785,1253333.3399999999,453035.52,58783304.90455,130733371.53,1112359.9,64939113.372150004,6155808.467600003,4902475.127600003,4449439.6076000035,3337079.7076000036,0.49672943191286184,0.04708674147661984,0.025525844461482646
2026-08-01,Downside,64197109.876724996,1253333.3399999999,453035.52,59831597.982099995,127273187.91600001,384527.8,63076078.03927501,3244480.057175018,1991146.717175018,1538111.197175018,1153583.397175018,0.4955959622925849,0.025492251041251256,0.009063836744125402
2026-09-01,Downside,71518656.439125,1253333.3399999999,453035.52,60628413.7098,140526927.126,1668372.03,69008270.68687499,8379856.977074988,7126523.637074988,6673488.117074989,5005116.0870749885,0.49106795472016856,0.05963168161758349,0.03561677601181214
2026-10-01,Downside,74096544.645225,1522083.34,453035.52,60172499.353649996,145976127.65100002,2432991.2,71879583.00577502,11707083.652125023,10185000.312125023,9731964.792125024,7298973.592125024,0.49240642399848317,0.08019861768161393,0.05000114545835482
2026-11-01,Downside,76922325.907425,1522083.34,453035.52,61952287.2703,152727765.63300002,2969508.4,75805439.72557501,13853152.455275014,12331069.115275014,11878033.595275015,8908525.195275014,0.4963435391815597,0.09070487214855026,0.058329441004734646
2026-12-01,Downside,81213473.475225,1522083.34,453035.52,62755441.37854999,162131334.507,4046825.2,80917861.031775,18162419.653225005,16640336.313225005,16187300.793225005,12140475.593225006,0.49908835499211524,0.11202288384569391,0.07488050123155461
2027-01-01,Downside,63368708.861925,1766527.78,453035.52,60858418.36215,126224980.488,0.0,62856271.62607501,1997853.2639250085,231325.48392500845,-221710.03607499157,-221710.03607499157,0.4979701433350639,0.01582771695587579,-0.0017564671843706022
2027-02-01,Downside,65550668.388975,1766527.78,453035.52,62294570.695549995,130254037.875,47308.87,64703369.486025,2408798.7904750034,642271.0104750034,189235.49047500337,141926.62047500338,0.49674751387069044,0.018493083437356766,0.0010896139788864367
2027-03-01,Downside,71519451.634125,1992569.4500000002,453035.52,63055653.57335,141542828.46,1130529.57,70023376.82587501,6967723.252525017,4975153.8025250165,4522118.282525016,3391588.7125250157,0.4947151161788717,0.049226960689810535,0.023961572263503823
2027-04-01,Downside,73816774.371,1992569.4500000002,453035.52,67618718.75975,146141315.316,565054.3,72324540.94500001,4705822.185250014,2713252.735250014,2260217.215250014,1695162.9152500138,0.4948945531837682,0.03220049152475916,0.011599477612368403
2027-05-01,Downside,74015772.21495,1992569.4500000002,453035.52,67965835.3875,147201833.583,693655.25,73186061.36805001,5220225.980550006,3227656.530550006,2774621.010550006,2080965.7605500058,0.4971817238049818,0.03546304997353564,0.014136819561942819
2027-06-01,Downside,74742432.7158,1822777.78,453035.52,68359133.4702,149298670.413,980322.73,74556237.69719999,6197104.226999983,4374326.446999983,3921290.926999983,2940968.196999983,0.4993764344381469,0.041508100573549235,0.019698555846910625
2026-01-01,Stress,61386250.82,1083333.3399999999,500226.72,58369581.9,124151704.02,703077.81,62765453.199999996,4395871.299999997,3312537.959999997,2812311.2399999974,2109233.4299999974,0.5055545044302324,0.0354072570706871,0.01698916214359985
2026-02-01,Stress,63143968.9,1083333.3399999999,500226.72,59207827.83,127346017.56,852665.19,64202048.660000004,4994220.830000006,3910887.490000006,3410660.770000006,2557995.580000006,0.5041543496226786,0.039217722907172514,0.020086969573232142
2026-03-01,Stress,70389535.96,1253333.3399999999,500226.72,59401380.09,140671920.73,2281861.16,70282384.77,10881004.679999992,9627671.339999992,9127444.619999992,6845583.459999992,0.4996191450666062,0.07735022471815504,0.04866346762364274
2026-04-01,Stress,73359119.42999999,1253333.3399999999,500226.72,61761566.83,146836945.99,2490674.92,73477826.56000002,11716259.73000002,10462926.39000002,9962699.670000019,7472024.750000019,0.500404214107014,0.07979095214087283,0.0508865442523497
2026-05-01,Stress,73565391.96,1253333.3399999999,500226.72,61776283.7,147503814.66,2602144.74,73938422.7,12162139.0,10908805.66,10408578.94,7806434.199999999,0.501264478280985,0.08245304725192387,0.05292360891136291
2026-06-01,Stress,73871656.18,1253333.3399999999,500226.72,62687035.5,149447647.77,2783849.01,75575991.59,12888956.090000004,11635622.750000004,11135396.030000003,8351547.020000003,0.505702115207002,0.08624395420285311,0.055882759913712644
2026-07-01,Stress,60766079.07912,1253333.3399999999,453035.52,56346691.22975,116207441.36000001,0.0,55441362.28088001,-905328.9488699883,-2158662.288869988,-2611697.808869988,-2611697.808869988,0.4770896048655589,-0.007790628020673497,-0.02247444551144696
2026-08-01,Stress,59290989.28452,1253333.3399999999,453035.52,57351531.744500004,113131722.59200001,0.0,53840733.30748001,-3510798.4370199963,-4764131.777019996,-5217167.297019996,-5217167.297019996,0.4759119022844906,-0.031032838151695028,-0.046115865448591004
2026-09-01,Stress,66053003.0202,1253333.3399999999,453035.52,58115318.841000006,124912824.112,0.0,58859821.091800004,744502.2507999986,-508831.0892000012,-961866.6092000012,-961866.6092000012,0.4712071919775411,0.005960174674559108,-0.007700303119698641
2026-10-01,Stress,68433881.88372,1522083.34,453035.52,57678302.489250004,129756557.912,417313.67,61322676.028280005,3644373.5390300006,2122290.1990300007,1669254.6790300007,1251941.0090300008,0.472597894203302,0.028086237779994052,0.009648383320086669
2026-11-01,Stress,71043709.13076,1522083.34,453035.52,59384316.8135,135758013.896,838717.27,64714304.76524,5329987.951739997,3807904.611739997,3354869.091739997,2516151.821739997,0.4766886529057181,0.03926094525677972,0.018534094227892452
2026-12-01,Stress,75006915.33972,1522083.34,453035.52,60154179.559750006,144116741.784,1745132.01,69109826.44428001,8955646.884530008,7433563.544530008,6980528.024530008,5235396.014530009,0.4795405834796125,0.062141613622882175,0.036327465842773084
2027-01-01,Stress,58525896.96516,1766527.78,453035.52,58335789.621750005,112199982.656,0.0,53674085.690840006,-4661703.930909999,-6428231.710909999,-6881267.230909999,-6881267.230909999,0.478378734294481,-0.04154816979965647,-0.061330376957433666
2027-02-01,Stress,60541105.11372,1766527.78,453035.52,59712412.324750006,115781367.0,0.0,55240261.88628,-4472150.438470006,-6238678.218470006,-6691713.738470007,-6691713.738470007,0.47710839246076614,-0.038625821704713556,-0.05779611963356769
2027-03-01,Stress,66053737.4442,1992569.4500000002,453035.52,60441947.72575,125815847.52000001,0.0,59762110.07580001,-679837.6499499902,-2672407.0999499904,-3125442.6199499904,-3125442.6199499904,0.47499668168829107,-0.005403434172646029,-0.024841406560116856
2027-04-01,Stress,68175492.4272,1992569.4500000002,453035.52,64815870.313750006,129903391.392,0.0,61727898.9648,-3087971.348950006,-5080540.798950006,-5533576.318950007,-5533576.318950007,0.47518312111289085,-0.02377129123312616,-0.04259762781905929
2027-05-01,Stress,68359282.30584,1992569.4500000002,453035.52,65148598.6875,130846074.296,0.0,62486791.99016,-2661806.6973399967,-4654376.147339997,-5107411.667339997,-5107411.667339997,0.4775595471729811,-0.02034303827349422,-0.03903374017768397
2027-06-01,Stress,69030409.40256,1822777.78,453035.52,65525594.259,132709929.256,0.0,63679519.85344,-1846074.4055600017,-3668852.185560002,-4121887.705560002,-4121887.705560002,0.47983990505036733,-0.013910597465536198,-0.031059376857995317
2026-01-01,Upside,61386250.82,1083333.3399999999,500226.72,58369581.9,124151704.02,703077.81,62765453.199999996,4395871.299999997,3312537.959999997,2812311.2399999974,2109233.4299999974,0.5055545044302324,0.0354072570706871,0.01698916214359985
2026-02-01,Upside,63143968.9,1083333.3399999999,500226.72,59207827.83,127346017.56,852665.19,64202048.660000004,4994220.830000006,3910887.490000006,3410660.770000006,2557995.580000006,0.5041543496226786,0.039217722907172514,0.020086969573232142
2026-03-01,Upside,70389535.96,1253333.3399999999,500226.72,59401380.09,140671920.73,2281861.16,70282384.77,10881004.679999992,9627671.339999992,9127444.619999992,6845583.459999992,0.4996191450666062,0.07735022471815504,0.04866346762364274
2026-04-01,Upside,73359119.42999999,1253333.3399999999,500226.72,61761566.83,146836945.99,2490674.92,73477826.56000002,11716259.73000002,10462926.39000002,9962699.670000019,7472024.750000019,0.500404214107014,0.07979095214087283,0.0508865442523497
2026-05-01,Upside,73565391.96,1253333.3399999999,500226.72,61776283.7,147503814.66,2602144.74,73938422.7,12162139.0,10908805.66,10408578.94,7806434.199999999,0.501264478280985,0.08245304725192387,0.05292360891136291
2026-06-01,Upside,73871656.18,1253333.3399999999,500226.72,62687035.5,149447647.77,2783849.01,75575991.59,12888956.090000004,11635622.750000004,11135396.030000003,8351547.020000003,0.505702115207002,0.08624395420285311,0.055882759913712644
2026-07-01,Upside,76574531.459269,1253333.3399999999,453035.52,62438225.41674999,158332638.85300002,4403378.28,81758107.39373101,19319881.97698102,18066548.63698102,17613513.116981022,13210134.83698102,0.5163692589601648,0.12202084242982954,0.08343279650158324
2026-08-01,Upside,74715693.2456865,1253333.3399999999,453035.52,63551697.33849999,154141972.03160003,3542053.15,79426278.78591353,15874581.447413534,14621248.107413534,14168212.587413535,10626159.437413534,0.5152800223006792,0.10298675460152508,0.0689374820975763
2026-09-01,Upside,83236862.3153025,1253333.3399999999,453035.52,64398056.013,170193722.8526,5213108.92,86956860.5372975,22558804.524297506,21305471.184297506,20852435.664297506,15639326.744297506,0.5109287174627961,0.13254780579560535,0.09189132526257908
2026-10-01,Upside,86237132.9629765,1522083.34,453035.52,63913794.650249995,176793310.15510002,6166815.92,90556177.19212352,26642382.541873522,25120299.201873522,24667263.681873523,18500447.76187352,0.5122149537936643,0.15069791112853917,0.1046445012293913
2026-11-01,Upside,89525913.5073245,1522083.34,453035.52,65804242.95549999,184970293.93330002,6916254.65,95444380.42597552,29640137.470475525,28118054.130475525,27665018.610475525,20748763.960475527,0.5159984254574013,0.1602426900027726,0.11217349293912836
2026-12-01,Upside,94520158.04517649,1522083.34,453035.52,66657334.10674999,196359060.6807,8301612.42,101838902.63552351,35181568.528773524,33659485.18877352,33206449.66877352,24904837.248773523,0.5186361265046181,0.17916957031069916,0.12683314517006855
2027-01-01,Upside,73751560.18385449,1766527.78,453035.52,64642361.47274999,152872476.3688,3064747.85,79120916.18494552,14478554.71219553,12712026.932195531,12258991.412195532,9194243.562195532,0.5175615523756468,0.09471001619196955,0.060143223820190564
2027-02-01,Upside,76291029.9358515,1766527.78,453035.52,66167808.25174999,157752112.5375,3268427.76,81461082.6016485,15293274.349898502,13526746.569898503,13073711.049898503,9805283.289898504,0.5163866352806147,0.09694497337563747,0.06215627247189887
2027-03-01,Upside,83237787.8016025,1992569.4500000002,453035.52,66976212.344749995,171424092.246,4691121.78,88186304.4443975,21210092.0996475,19217522.6496475,18764487.1296475,14073365.3496475,0.5144335506694523,0.12372877010315576,0.08209677627723233
2027-04-01,Upside,85911522.82214,1992569.4500000002,453035.52,71822991.42875,176993370.7716,4203312.89,91081847.94946001,19258856.52071002,17266287.070710022,16813251.550710022,12609938.660710022,0.5146059852546456,0.10881117432111337,0.07124525967123616
2027-05-01,Upside,86143126.11228299,1992569.4500000002,453035.52,72191690.4375,178277776.2283,4374338.68,92134650.11601701,19942959.678517014,17950390.228517015,17497354.708517015,13123016.028517015,0.5168039004369825,0.11186453017552979,0.07360993785177052
2027-06-01,Upside,86988848.656172,1822777.78,453035.52,72609442.28699999,180817278.6113,4735793.59,93828429.95512798,21218987.668128,19396209.888127998,18943174.368127998,14207380.778127998,0.5189129638259264,0.11735044256330235,0.07857313685529677
