Month,Version,BeginningCashTRY,CashFromOperationsTRY,CapitalExpenditureTRY,FinancingCashFlowTRY,NetCashFlowTRY,EndingCashTRY
2026-01-01,Forecast,155407573.42,94205382.99,1133333.33,0.0,93072049.66,248479623.08
2026-02-01,Forecast,248479623.08,-16496482.07,2566666.66,0.0,-19063148.73,229416474.35
2026-03-01,Forecast,229416474.35,8231368.45,2566666.66,-2000000.0,3664701.79,233081176.14
2026-04-01,Forecast,233081176.14,-4430317.5,3193333.33,0.0,-7623650.83,225457525.31
2026-05-01,Forecast,225457525.31,14154185.59,3193333.33,0.0,10960852.26,236418377.57
2026-06-01,Forecast,236418377.57,1607722.44,3193333.33,-2000000.0,-3585610.89,232832766.68
2026-07-01,Forecast,232832766.68,20850460.81,4398888.89,0.0,16451571.92,249284338.6
2026-08-01,Forecast,249284338.6,11855371.6,4398888.89,0.0,7456482.71,256740821.31
2026-09-01,Forecast,256740821.31,-12190121.04,4398888.89,-2000000.0,-18589009.93,238151811.38
2026-10-01,Forecast,238151811.38,-6566214.63,4398888.89,0.0,-10965103.52,227186707.86
2026-11-01,Forecast,227186707.86,-363999.82,2965555.56,0.0,-3329555.38,223857152.48
2026-12-01,Forecast,223857152.48,14290762.24,2965555.56,-2000000.0,9325206.68,233182359.16
2027-01-01,Forecast,233182359.16,76281694.38,2965555.56,0.0,73316138.82,306498497.98
2027-02-01,Forecast,306498497.98,-16907650.82,1205555.56,0.0,-18113206.38,288385291.6
2027-03-01,Forecast,288385291.6,14363662.27,1205555.56,-2000000.0,11158106.71,299543398.31
2027-04-01,Forecast,299543398.31,-3142810.65,0.0,0.0,-3142810.65,296400587.66
2027-05-01,Forecast,296400587.66,15011225.15,0.0,0.0,15011225.15,311411812.81
2027-06-01,Forecast,311411812.81,1426652.46,0.0,-2000000.0,-573347.54,310838465.27
