Month,CostCenterID,Department,Version,FTE,Hires,Exits,AverageSalaryTRY,PayrollCostTRY,BenefitsCostTRY
2025-01-01,CC-101,Sales,Actual,19,0,0,87640.8,1654625.75,306105.76
2025-02-01,CC-101,Sales,Actual,19,0,0,87640.8,1641909.68,303753.29
2025-03-01,CC-101,Sales,Actual,19,0,0,87640.8,1642051.97,303779.61
2025-04-01,CC-101,Sales,Actual,19,0,0,92899.25,1801342.73,333248.4
2025-05-01,CC-101,Sales,Actual,19,0,0,92899.25,1767939.38,327068.79
2025-06-01,CC-101,Sales,Actual,20,1,0,92899.25,1818183.88,336364.02
2025-07-01,CC-101,Sales,Actual,20,0,0,92899.25,1850982.89,342431.83
2025-08-01,CC-101,Sales,Actual,20,0,0,92899.25,1815059.4,335785.99
2025-09-01,CC-101,Sales,Actual,20,0,0,92899.25,1854310.25,343047.4
2025-10-01,CC-101,Sales,Actual,20,0,0,92899.25,1845039.23,341332.26
2025-11-01,CC-101,Sales,Actual,20,0,0,92899.25,1902198.85,351906.79
2025-12-01,CC-101,Sales,Actual,20,0,0,92899.25,1905120.28,352447.25
2026-01-01,CC-101,Sales,Actual,20,0,0,92899.25,1894657.55,350511.65
2026-02-01,CC-101,Sales,Actual,20,0,0,92899.25,1876813.7,347210.53
2026-03-01,CC-101,Sales,Actual,20,0,0,92899.25,1830655.33,338671.24
2026-04-01,CC-101,Sales,Actual,20,0,0,98473.2,1995472.42,369162.4
2026-05-01,CC-101,Sales,Actual,20,0,0,98473.2,1957092.91,362062.19
2026-06-01,CC-101,Sales,Actual,19,0,1,98473.2,1881984.95,348167.22
2026-01-01,CC-101,Sales,Budget,20,0,0,107763.13,2155262.6,398723.58
2026-02-01,CC-101,Sales,Budget,21,1,0,107763.13,2263025.73,418659.76
2026-03-01,CC-101,Sales,Budget,21,0,0,107763.13,2263025.73,418659.76
2026-04-01,CC-101,Sales,Budget,21,0,0,107763.13,2263025.73,418659.76
2026-05-01,CC-101,Sales,Budget,21,0,0,107763.13,2263025.73,418659.76
2026-06-01,CC-101,Sales,Budget,21,0,0,107763.13,2263025.73,418659.76
2026-07-01,CC-101,Sales,Budget,21,0,0,107763.13,2263025.73,418659.76
2026-08-01,CC-101,Sales,Budget,21,0,0,107763.13,2263025.73,418659.76
2026-09-01,CC-101,Sales,Budget,20,0,1,107763.13,2155262.6,398723.58
2026-10-01,CC-101,Sales,Budget,21,1,0,107763.13,2263025.73,418659.76
2026-11-01,CC-101,Sales,Budget,21,0,0,107763.13,2263025.73,418659.76
2026-12-01,CC-101,Sales,Budget,21,0,0,107763.13,2263025.73,418659.76
2026-01-01,CC-101,Sales,Forecast,20,0,0,92899.25,1894657.55,350511.65
2026-02-01,CC-101,Sales,Forecast,20,0,0,92899.25,1876813.7,347210.53
2026-03-01,CC-101,Sales,Forecast,20,0,0,92899.25,1830655.33,338671.24
2026-04-01,CC-101,Sales,Forecast,20,0,0,98473.2,1995472.42,369162.4
2026-05-01,CC-101,Sales,Forecast,20,0,0,98473.2,1957092.91,362062.19
2026-06-01,CC-101,Sales,Forecast,19,0,1,98473.2,1881984.95,348167.22
2026-07-01,CC-101,Sales,Forecast,19,0,0,98473.2,1870990.8,346133.3
2026-08-01,CC-101,Sales,Forecast,20,1,0,98473.2,1969464.0,364350.84
2026-09-01,CC-101,Sales,Forecast,20,0,0,98473.2,1969464.0,364350.84
2026-10-01,CC-101,Sales,Forecast,19,0,1,98473.2,1870990.8,346133.3
2026-11-01,CC-101,Sales,Forecast,20,1,0,98473.2,1969464.0,364350.84
2026-12-01,CC-101,Sales,Forecast,20,0,0,98473.2,1969464.0,364350.84
2027-01-01,CC-101,Sales,Forecast,20,0,0,98473.2,1969464.0,364350.84
2027-02-01,CC-101,Sales,Forecast,21,1,0,98473.2,2067937.2,382568.38
2027-03-01,CC-101,Sales,Forecast,21,0,0,98473.2,2067937.2,382568.38
2027-04-01,CC-101,Sales,Forecast,21,0,0,113244.18,2378127.78,439953.64
2027-05-01,CC-101,Sales,Forecast,21,0,0,113244.18,2378127.78,439953.64
2027-06-01,CC-101,Sales,Forecast,21,0,0,113244.18,2378127.78,439953.64
2023-01-01,CC-102,Sales,Actual,11,0,0,86000.0,957087.29,177061.15
2023-02-01,CC-102,Sales,Actual,11,0,0,86000.0,936060.62,173171.22
2023-03-01,CC-102,Sales,Actual,11,0,0,86000.0,957122.23,177067.61
2023-04-01,CC-102,Sales,Actual,11,0,0,91160.0,1003353.39,185620.38
2023-05-01,CC-102,Sales,Actual,11,0,0,91160.0,1006235.6,186153.59
2023-06-01,CC-102,Sales,Actual,11,0,0,91160.0,1014200.23,187627.04
2023-07-01,CC-102,Sales,Actual,12,1,0,91160.0,1090334.3,201711.85
2023-08-01,CC-102,Sales,Actual,12,0,0,91160.0,1102819.3,204021.57
2023-09-01,CC-102,Sales,Actual,12,0,0,91160.0,1095251.9,202621.6
2023-10-01,CC-102,Sales,Actual,13,1,0,91160.0,1179852.21,218272.66
2023-11-01,CC-102,Sales,Actual,12,0,1,91160.0,1106417.68,204687.27
2023-12-01,CC-102,Sales,Actual,12,0,0,91160.0,1135898.2,210141.17
2024-01-01,CC-102,Sales,Actual,13,1,0,91160.0,1164728.58,215474.79
2024-02-01,CC-102,Sales,Actual,13,0,0,91160.0,1182728.26,218804.73
2024-03-01,CC-102,Sales,Actual,13,0,0,91160.0,1170838.94,216605.2
2024-04-01,CC-102,Sales,Actual,13,0,0,96629.6,1268466.26,234666.26
2024-05-01,CC-102,Sales,Actual,13,0,0,96629.6,1267216.57,234435.07
2024-06-01,CC-102,Sales,Actual,13,0,0,96629.6,1229285.41,227417.8
2024-07-01,CC-102,Sales,Actual,13,0,0,96629.6,1254110.98,232010.53
2024-08-01,CC-102,Sales,Actual,14,1,0,96629.6,1342707.85,248400.95
2024-09-01,CC-102,Sales,Actual,14,0,0,96629.6,1374343.82,254253.61
2024-10-01,CC-102,Sales,Actual,14,0,0,96629.6,1356450.5,250943.34
2024-11-01,CC-102,Sales,Actual,14,0,0,96629.6,1378257.67,254977.67
2024-12-01,CC-102,Sales,Actual,14,0,0,96629.6,1407454.99,260379.17
2025-01-01,CC-102,Sales,Actual,15,1,0,96629.6,1455852.27,269332.67
2025-02-01,CC-102,Sales,Actual,15,0,0,96629.6,1440844.07,266556.15
2025-03-01,CC-102,Sales,Actual,15,0,0,96629.6,1452357.33,268686.11
2025-04-01,CC-102,Sales,Actual,15,0,0,102427.38,1549965.94,286743.7
2025-05-01,CC-102,Sales,Actual,15,0,0,102427.38,1548616.13,286493.98
2025-06-01,CC-102,Sales,Actual,15,0,0,102427.38,1549484.23,286654.58
2025-07-01,CC-102,Sales,Actual,15,0,0,102427.38,1561400.03,288859.0
2025-08-01,CC-102,Sales,Actual,15,0,0,102427.38,1550206.94,286788.28
2025-09-01,CC-102,Sales,Actual,15,0,0,102427.38,1570574.61,290556.3
2025-10-01,CC-102,Sales,Actual,15,0,0,102427.38,1557228.83,288087.33
2025-11-01,CC-102,Sales,Actual,15,0,0,102427.38,1578183.68,291963.98
2025-12-01,CC-102,Sales,Actual,15,0,0,102427.38,1557074.06,288058.7
2026-01-01,CC-102,Sales,Actual,15,0,0,102427.38,1568567.81,290185.04
2026-02-01,CC-102,Sales,Actual,15,0,0,102427.38,1531635.44,283352.56
2026-03-01,CC-102,Sales,Actual,14,0,1,102427.38,1399141.7,258841.21
2026-04-01,CC-102,Sales,Actual,14,0,0,108573.02,1524254.45,281987.07
2026-05-01,CC-102,Sales,Actual,14,0,0,108573.02,1524230.11,281982.57
2026-06-01,CC-102,Sales,Actual,15,1,0,108573.02,1667472.14,308482.35
2026-01-01,CC-102,Sales,Budget,15,0,0,118815.76,1782236.41,329713.74
2026-02-01,CC-102,Sales,Budget,16,1,0,118815.76,1901052.17,351694.65
2026-03-01,CC-102,Sales,Budget,16,0,0,118815.76,1901052.17,351694.65
2026-04-01,CC-102,Sales,Budget,16,0,0,118815.76,1901052.17,351694.65
2026-05-01,CC-102,Sales,Budget,16,0,0,118815.76,1901052.17,351694.65
2026-06-01,CC-102,Sales,Budget,16,0,0,118815.76,1901052.17,351694.65
2026-07-01,CC-102,Sales,Budget,16,0,0,118815.76,1901052.17,351694.65
2026-08-01,CC-102,Sales,Budget,16,0,0,118815.76,1901052.17,351694.65
2026-09-01,CC-102,Sales,Budget,16,0,0,118815.76,1901052.17,351694.65
2026-10-01,CC-102,Sales,Budget,17,1,0,118815.76,2019867.93,373675.57
2026-11-01,CC-102,Sales,Budget,17,0,0,118815.76,2019867.93,373675.57
2026-12-01,CC-102,Sales,Budget,17,0,0,118815.76,2019867.93,373675.57
2026-01-01,CC-102,Sales,Forecast,15,0,0,102427.38,1568567.81,290185.04
2026-02-01,CC-102,Sales,Forecast,15,0,0,102427.38,1531635.44,283352.56
2026-03-01,CC-102,Sales,Forecast,14,0,1,102427.38,1399141.7,258841.21
2026-04-01,CC-102,Sales,Forecast,14,0,0,108573.02,1524254.45,281987.07
2026-05-01,CC-102,Sales,Forecast,14,0,0,108573.02,1524230.11,281982.57
2026-06-01,CC-102,Sales,Forecast,15,1,0,108573.02,1667472.14,308482.35
2026-07-01,CC-102,Sales,Forecast,15,0,0,108573.02,1628595.3,301290.13
2026-08-01,CC-102,Sales,Forecast,16,1,0,108573.02,1737168.32,321376.14
2026-09-01,CC-102,Sales,Forecast,16,0,0,108573.02,1737168.32,321376.14
2026-10-01,CC-102,Sales,Forecast,15,0,1,108573.02,1628595.3,301290.13
2026-11-01,CC-102,Sales,Forecast,16,1,0,108573.02,1737168.32,321376.14
2026-12-01,CC-102,Sales,Forecast,16,0,0,108573.02,1737168.32,321376.14
2027-01-01,CC-102,Sales,Forecast,16,0,0,108573.02,1737168.32,321376.14
2027-02-01,CC-102,Sales,Forecast,17,1,0,108573.02,1845741.34,341462.15
2027-03-01,CC-102,Sales,Forecast,17,0,0,108573.02,1845741.34,341462.15
2027-04-01,CC-102,Sales,Forecast,17,0,0,124858.97,2122602.54,392681.47
2027-05-01,CC-102,Sales,Forecast,17,0,0,124858.97,2122602.54,392681.47
2027-06-01,CC-102,Sales,Forecast,17,0,0,124858.97,2122602.54,392681.47
2023-01-01,CC-103,Sales,Actual,7,0,0,82000.0,566914.9,104879.26
2023-02-01,CC-103,Sales,Actual,7,0,0,82000.0,574818.33,106341.39
2023-03-01,CC-103,Sales,Actual,7,0,0,82000.0,568085.13,105095.75
2023-04-01,CC-103,Sales,Actual,7,0,0,86920.0,603819.0,111706.51
2023-05-01,CC-103,Sales,Actual,6,0,1,86920.0,514721.89,95223.55
2023-06-01,CC-103,Sales,Actual,6,0,0,86920.0,506784.65,93755.16
2023-07-01,CC-103,Sales,Actual,6,0,0,86920.0,525911.38,97293.61
2023-08-01,CC-103,Sales,Actual,6,0,0,86920.0,533364.45,98672.42
2023-09-01,CC-103,Sales,Actual,7,1,0,86920.0,602404.12,111444.76
2023-10-01,CC-103,Sales,Actual,7,0,0,86920.0,606056.26,112120.41
2023-11-01,CC-103,Sales,Actual,7,0,0,86920.0,626962.33,115988.03
2023-12-01,CC-103,Sales,Actual,7,0,0,86920.0,611274.57,113085.8
2024-01-01,CC-103,Sales,Actual,8,1,0,86920.0,696055.28,128770.23
2024-02-01,CC-103,Sales,Actual,9,1,0,86920.0,767349.96,141959.74
2024-03-01,CC-103,Sales,Actual,9,0,0,86920.0,792637.74,146637.98
2024-04-01,CC-103,Sales,Actual,9,0,0,92135.2,843862.16,156114.5
2024-05-01,CC-103,Sales,Actual,9,0,0,92135.2,811769.8,150177.41
2024-06-01,CC-103,Sales,Actual,9,0,0,92135.2,819608.3,151627.54
2024-07-01,CC-103,Sales,Actual,9,0,0,92135.2,826380.54,152880.4
2024-08-01,CC-103,Sales,Actual,9,0,0,92135.2,806750.49,149248.84
2024-09-01,CC-103,Sales,Actual,9,0,0,92135.2,834270.72,154340.08
2024-10-01,CC-103,Sales,Actual,9,0,0,92135.2,833678.33,154230.49
2024-11-01,CC-103,Sales,Actual,8,0,1,92135.2,760105.41,140619.5
2024-12-01,CC-103,Sales,Actual,8,0,0,92135.2,750316.99,138808.64
2025-01-01,CC-103,Sales,Actual,7,0,1,92135.2,642477.03,118858.25
2025-02-01,CC-103,Sales,Actual,7,0,0,92135.2,650612.07,120363.23
2025-03-01,CC-103,Sales,Actual,7,0,0,92135.2,646686.77,119637.05
2025-04-01,CC-103,Sales,Actual,7,0,0,97663.31,681369.17,126053.3
2025-05-01,CC-103,Sales,Actual,7,0,0,97663.31,682838.92,126325.2
2025-06-01,CC-103,Sales,Actual,7,0,0,97663.31,691671.12,127959.16
2025-07-01,CC-103,Sales,Actual,7,0,0,97663.31,686666.51,127033.3
2025-08-01,CC-103,Sales,Actual,8,1,0,97663.31,785327.54,145285.6
2025-09-01,CC-103,Sales,Actual,8,0,0,97663.31,790033.84,146156.26
2025-10-01,CC-103,Sales,Actual,8,0,0,97663.31,777661.38,143867.35
2025-11-01,CC-103,Sales,Actual,8,0,0,97663.31,790089.65,146166.59
2025-12-01,CC-103,Sales,Actual,9,1,0,97663.31,880468.52,162886.68
2026-01-01,CC-103,Sales,Actual,9,0,0,97663.31,879883.49,162778.45
2026-02-01,CC-103,Sales,Actual,9,0,0,97663.31,871098.27,161153.18
2026-03-01,CC-103,Sales,Actual,9,0,0,97663.31,887719.53,164228.11
2026-04-01,CC-103,Sales,Actual,9,0,0,103523.11,936453.2,173243.84
2026-05-01,CC-103,Sales,Actual,9,0,0,103523.11,933932.35,172777.49
2026-06-01,CC-103,Sales,Actual,10,1,0,103523.11,1040226.46,192441.89
2026-01-01,CC-103,Sales,Budget,9,0,0,113289.44,1019604.96,188626.92
2026-02-01,CC-103,Sales,Budget,10,1,0,113289.44,1132894.4,209585.46
2026-03-01,CC-103,Sales,Budget,10,0,0,113289.44,1132894.4,209585.46
2026-04-01,CC-103,Sales,Budget,10,0,0,113289.44,1132894.4,209585.46
2026-05-01,CC-103,Sales,Budget,10,0,0,113289.44,1132894.4,209585.46
2026-06-01,CC-103,Sales,Budget,10,0,0,113289.44,1132894.4,209585.46
2026-07-01,CC-103,Sales,Budget,10,0,0,113289.44,1132894.4,209585.46
2026-08-01,CC-103,Sales,Budget,10,0,0,113289.44,1132894.4,209585.46
2026-09-01,CC-103,Sales,Budget,10,0,0,113289.44,1132894.4,209585.46
2026-10-01,CC-103,Sales,Budget,11,1,0,113289.44,1246183.84,230544.01
2026-11-01,CC-103,Sales,Budget,11,0,0,113289.44,1246183.84,230544.01
2026-12-01,CC-103,Sales,Budget,11,0,0,113289.44,1246183.84,230544.01
2026-01-01,CC-103,Sales,Forecast,9,0,0,97663.31,879883.49,162778.45
2026-02-01,CC-103,Sales,Forecast,9,0,0,97663.31,871098.27,161153.18
2026-03-01,CC-103,Sales,Forecast,9,0,0,97663.31,887719.53,164228.11
2026-04-01,CC-103,Sales,Forecast,9,0,0,103523.11,936453.2,173243.84
2026-05-01,CC-103,Sales,Forecast,9,0,0,103523.11,933932.35,172777.49
2026-06-01,CC-103,Sales,Forecast,10,1,0,103523.11,1040226.46,192441.89
2026-07-01,CC-103,Sales,Forecast,10,0,0,103523.11,1035231.1,191517.75
2026-08-01,CC-103,Sales,Forecast,11,1,0,103523.11,1138754.21,210669.53
2026-09-01,CC-103,Sales,Forecast,11,0,0,103523.11,1138754.21,210669.53
2026-10-01,CC-103,Sales,Forecast,11,0,0,103523.11,1138754.21,210669.53
2026-11-01,CC-103,Sales,Forecast,12,1,0,103523.11,1242277.32,229821.3
2026-12-01,CC-103,Sales,Forecast,12,0,0,103523.11,1242277.32,229821.3
2027-01-01,CC-103,Sales,Forecast,12,0,0,103523.11,1242277.32,229821.3
2027-02-01,CC-103,Sales,Forecast,13,1,0,103523.11,1345800.43,248973.08
2027-03-01,CC-103,Sales,Forecast,13,0,0,103523.11,1345800.43,248973.08
2027-04-01,CC-103,Sales,Forecast,13,0,0,119051.58,1547670.49,286319.04
2027-05-01,CC-103,Sales,Forecast,13,0,0,119051.58,1547670.49,286319.04
2027-06-01,CC-103,Sales,Forecast,13,0,0,119051.58,1547670.49,286319.04
2023-01-01,CC-201,Sales,Actual,24,0,0,71000.0,1707038.98,315802.21
2023-02-01,CC-201,Sales,Actual,24,0,0,71000.0,1669292.13,308819.04
2023-03-01,CC-201,Sales,Actual,24,0,0,71000.0,1696705.65,313890.54
2023-04-01,CC-201,Sales,Actual,24,0,0,75260.0,1793418.53,331782.43
2023-05-01,CC-201,Sales,Actual,24,0,0,75260.0,1808500.48,334572.59
2023-06-01,CC-201,Sales,Actual,25,1,0,75260.0,1884438.41,348621.11
2023-07-01,CC-201,Sales,Actual,25,0,0,75260.0,1860067.59,344112.5
2023-08-01,CC-201,Sales,Actual,25,0,0,75260.0,1925454.47,356209.08
2023-09-01,CC-201,Sales,Actual,25,0,0,75260.0,1881322.95,348044.75
2023-10-01,CC-201,Sales,Actual,25,0,0,75260.0,1897403.33,351019.62
2023-11-01,CC-201,Sales,Actual,26,1,0,75260.0,2016274.69,373010.82
2023-12-01,CC-201,Sales,Actual,26,0,0,75260.0,1998642.91,369748.94
2024-01-01,CC-201,Sales,Actual,26,0,0,75260.0,1951118.04,360956.84
2024-02-01,CC-201,Sales,Actual,26,0,0,75260.0,1940869.05,359060.77
2024-03-01,CC-201,Sales,Actual,26,0,0,75260.0,1947443.58,360277.06
2024-04-01,CC-201,Sales,Actual,26,0,0,79775.6,2084835.31,385694.53
2024-05-01,CC-201,Sales,Actual,25,0,1,79775.6,1980961.15,366477.81
2024-06-01,CC-201,Sales,Actual,26,1,0,79775.6,2102921.96,389040.56
2024-07-01,CC-201,Sales,Actual,26,0,0,79775.6,2100986.17,388682.44
2024-08-01,CC-201,Sales,Actual,27,1,0,79775.6,2161994.23,399968.93
2024-09-01,CC-201,Sales,Actual,27,0,0,79775.6,2146997.92,397194.61
2024-10-01,CC-201,Sales,Actual,27,0,0,79775.6,2155843.26,398831.0
2024-11-01,CC-201,Sales,Actual,27,0,0,79775.6,2238377.54,414099.85
2024-12-01,CC-201,Sales,Actual,27,0,0,79775.6,2217114.7,410166.22
2025-01-01,CC-201,Sales,Actual,27,0,0,79775.6,2125677.86,393250.4
2025-02-01,CC-201,Sales,Actual,28,1,0,79775.6,2198794.61,406777.0
2025-03-01,CC-201,Sales,Actual,28,0,0,79775.6,2237689.68,413972.59
2025-04-01,CC-201,Sales,Actual,28,0,0,84562.14,2361708.94,436916.15
2025-05-01,CC-201,Sales,Actual,28,0,0,84562.14,2363238.96,437199.21
2025-06-01,CC-201,Sales,Actual,28,0,0,84562.14,2379496.27,440206.81
2025-07-01,CC-201,Sales,Actual,28,0,0,84562.14,2340130.41,432924.12
2025-08-01,CC-201,Sales,Actual,28,0,0,84562.14,2383265.56,440904.13
2025-09-01,CC-201,Sales,Actual,28,0,0,84562.14,2345063.58,433836.76
2025-10-01,CC-201,Sales,Actual,28,0,0,84562.14,2394115.09,442911.29
2025-11-01,CC-201,Sales,Actual,28,0,0,84562.14,2471894.84,457300.55
2025-12-01,CC-201,Sales,Actual,28,0,0,84562.14,2368469.61,438166.88
2026-01-01,CC-201,Sales,Actual,28,0,0,84562.14,2362715.72,437102.41
2026-02-01,CC-201,Sales,Actual,28,0,0,84562.14,2396882.98,443423.35
2026-03-01,CC-201,Sales,Actual,28,0,0,84562.14,2389667.42,442088.47
2026-04-01,CC-201,Sales,Actual,28,0,0,89635.86,2507276.8,463846.21
2026-05-01,CC-201,Sales,Actual,28,0,0,89635.86,2539551.11,469816.96
2026-06-01,CC-201,Sales,Actual,28,0,0,89635.86,2515727.13,465409.52
2026-01-01,CC-201,Sales,Budget,28,0,0,98092.08,2746578.31,508116.99
2026-02-01,CC-201,Sales,Budget,29,1,0,98092.08,2844670.39,526264.02
2026-03-01,CC-201,Sales,Budget,29,0,0,98092.08,2844670.39,526264.02
2026-04-01,CC-201,Sales,Budget,29,0,0,98092.08,2844670.39,526264.02
2026-05-01,CC-201,Sales,Budget,29,0,0,98092.08,2844670.39,526264.02
2026-06-01,CC-201,Sales,Budget,29,0,0,98092.08,2844670.39,526264.02
2026-07-01,CC-201,Sales,Budget,29,0,0,98092.08,2844670.39,526264.02
2026-08-01,CC-201,Sales,Budget,29,0,0,98092.08,2844670.39,526264.02
2026-09-01,CC-201,Sales,Budget,28,0,1,98092.08,2746578.31,508116.99
2026-10-01,CC-201,Sales,Budget,29,1,0,98092.08,2844670.39,526264.02
2026-11-01,CC-201,Sales,Budget,29,0,0,98092.08,2844670.39,526264.02
2026-12-01,CC-201,Sales,Budget,29,0,0,98092.08,2844670.39,526264.02
2026-01-01,CC-201,Sales,Forecast,28,0,0,84562.14,2362715.72,437102.41
2026-02-01,CC-201,Sales,Forecast,28,0,0,84562.14,2396882.98,443423.35
2026-03-01,CC-201,Sales,Forecast,28,0,0,84562.14,2389667.42,442088.47
2026-04-01,CC-201,Sales,Forecast,28,0,0,89635.86,2507276.8,463846.21
2026-05-01,CC-201,Sales,Forecast,28,0,0,89635.86,2539551.11,469816.96
2026-06-01,CC-201,Sales,Forecast,28,0,0,89635.86,2515727.13,465409.52
2026-07-01,CC-201,Sales,Forecast,28,0,0,89635.86,2509804.08,464313.75
2026-08-01,CC-201,Sales,Forecast,29,1,0,89635.86,2599439.94,480896.39
2026-09-01,CC-201,Sales,Forecast,29,0,0,89635.86,2599439.94,480896.39
2026-10-01,CC-201,Sales,Forecast,28,0,1,89635.86,2509804.08,464313.75
2026-11-01,CC-201,Sales,Forecast,29,1,0,89635.86,2599439.94,480896.39
2026-12-01,CC-201,Sales,Forecast,29,0,0,89635.86,2599439.94,480896.39
2027-01-01,CC-201,Sales,Forecast,29,0,0,89635.86,2599439.94,480896.39
2027-02-01,CC-201,Sales,Forecast,30,1,0,89635.86,2689075.8,497479.02
2027-03-01,CC-201,Sales,Forecast,30,0,0,89635.86,2689075.8,497479.02
2027-04-01,CC-201,Sales,Forecast,30,0,0,103081.24,3092437.17,572100.88
2027-05-01,CC-201,Sales,Forecast,30,0,0,103081.24,3092437.17,572100.88
2027-06-01,CC-201,Sales,Forecast,30,0,0,103081.24,3092437.17,572100.88
2023-01-01,CC-202,Sales,Actual,19,0,0,68000.0,1318082.57,243845.28
2023-02-01,CC-202,Sales,Actual,19,0,0,68000.0,1336093.16,247177.23
2023-03-01,CC-202,Sales,Actual,19,0,0,68000.0,1280973.58,236980.11
2023-04-01,CC-202,Sales,Actual,19,0,0,72080.0,1381547.2,255586.23
2023-05-01,CC-202,Sales,Actual,19,0,0,72080.0,1359240.72,251459.53
2023-06-01,CC-202,Sales,Actual,19,0,0,72080.0,1377336.98,254807.34
2023-07-01,CC-202,Sales,Actual,19,0,0,72080.0,1365540.82,252625.05
2023-08-01,CC-202,Sales,Actual,18,0,1,72080.0,1296424.69,239838.57
2023-09-01,CC-202,Sales,Actual,18,0,0,72080.0,1306850.91,241767.42
2023-10-01,CC-202,Sales,Actual,18,0,0,72080.0,1307519.72,241891.15
2023-11-01,CC-202,Sales,Actual,17,0,1,72080.0,1252060.99,231631.28
2023-12-01,CC-202,Sales,Actual,18,1,0,72080.0,1338225.33,247571.69
2024-01-01,CC-202,Sales,Actual,18,0,0,72080.0,1323192.7,244790.65
2024-02-01,CC-202,Sales,Actual,19,1,0,72080.0,1369675.43,253389.95
2024-03-01,CC-202,Sales,Actual,19,0,0,72080.0,1379136.04,255140.17
2024-04-01,CC-202,Sales,Actual,19,0,0,76404.8,1444057.44,267150.63
2024-05-01,CC-202,Sales,Actual,19,0,0,76404.8,1446210.22,267548.89
2024-06-01,CC-202,Sales,Actual,19,0,0,76404.8,1434359.34,265356.48
2024-07-01,CC-202,Sales,Actual,19,0,0,76404.8,1458850.76,269887.39
2024-08-01,CC-202,Sales,Actual,19,0,0,76404.8,1423856.84,263413.52
2024-09-01,CC-202,Sales,Actual,20,1,0,76404.8,1535343.05,284038.46
2024-10-01,CC-202,Sales,Actual,20,0,0,76404.8,1546500.11,286102.52
2024-11-01,CC-202,Sales,Actual,20,0,0,76404.8,1559068.65,288427.7
2024-12-01,CC-202,Sales,Actual,21,1,0,76404.8,1667803.44,308543.64
2025-01-01,CC-202,Sales,Actual,21,0,0,76404.8,1584812.58,293190.33
2025-02-01,CC-202,Sales,Actual,21,0,0,76404.8,1600318.39,296058.9
2025-03-01,CC-202,Sales,Actual,21,0,0,76404.8,1594035.94,294896.65
2025-04-01,CC-202,Sales,Actual,21,0,0,80989.09,1679545.33,310715.89
2025-05-01,CC-202,Sales,Actual,21,0,0,80989.09,1731974.77,320415.33
2025-06-01,CC-202,Sales,Actual,21,0,0,80989.09,1683866.9,311515.38
2025-07-01,CC-202,Sales,Actual,21,0,0,80989.09,1710384.29,316421.09
2025-08-01,CC-202,Sales,Actual,21,0,0,80989.09,1723785.0,318900.23
2025-09-01,CC-202,Sales,Actual,21,0,0,80989.09,1703402.38,315129.44
2025-10-01,CC-202,Sales,Actual,21,0,0,80989.09,1675119.13,309897.04
2025-11-01,CC-202,Sales,Actual,21,0,0,80989.09,1744486.41,322729.99
2025-12-01,CC-202,Sales,Actual,21,0,0,80989.09,1789513.39,331059.98
2026-01-01,CC-202,Sales,Actual,21,0,0,80989.09,1684844.84,311696.3
2026-02-01,CC-202,Sales,Actual,21,0,0,80989.09,1719934.26,318187.84
2026-03-01,CC-202,Sales,Actual,21,0,0,80989.09,1712632.85,316837.08
2026-04-01,CC-202,Sales,Actual,21,0,0,85848.43,1821857.17,337043.58
2026-05-01,CC-202,Sales,Actual,21,0,0,85848.43,1797126.77,332468.45
