Month,Version,Department,FTE,Hires,Exits,PayrollCostTRY,BenefitsCostTRY
2023-10-01,Actual,Customer Success,14,0,0,1192305.28,220576.48
2023-10-01,Actual,Finance & Corporate,18,0,0,1659245.0,306960.32
2023-10-01,Actual,Marketing,16,0,0,1346542.36,249110.34
2023-10-01,Actual,Operations,28,0,0,2054461.96,380075.46
2023-10-01,Actual,Sales,98,1,0,7870486.28,1456039.98
2023-10-01,Actual,Technology,23,0,1,2348360.65,434446.72
2023-11-01,Actual,Customer Success,14,0,0,1183916.59,219024.57
2023-11-01,Actual,Finance & Corporate,18,0,0,1665275.51,308075.97
2023-11-01,Actual,Marketing,16,0,0,1351374.57,250004.29
2023-11-01,Actual,Operations,28,0,0,2131096.87,394252.92
2023-11-01,Actual,Sales,97,1,2,7966696.78,1473838.9
2023-11-01,Actual,Technology,23,0,0,2306677.59,426735.35
2023-12-01,Actual,Customer Success,14,0,0,1169717.9,216397.81
2023-12-01,Actual,Finance & Corporate,17,0,1,1582172.7,292701.95
2023-12-01,Actual,Marketing,16,0,0,1367265.16,252944.06
2023-12-01,Actual,Operations,28,0,0,2070318.42,383008.91
2023-12-01,Actual,Sales,99,2,0,8157658.48,1509166.83
2023-12-01,Actual,Technology,24,1,0,2438140.8,451056.05
2024-01-01,Actual,Customer Success,14,0,0,1217977.44,225325.83
2024-01-01,Actual,Finance & Corporate,18,1,0,1698484.87,314219.7
2024-01-01,Actual,Marketing,16,0,0,1359035.23,251421.52
2024-01-01,Actual,Operations,28,0,0,2024536.98,374539.34
2024-01-01,Actual,Sales,103,4,0,8274480.23,1530778.86
2024-01-01,Actual,Technology,24,0,0,2394355.33,442955.74
2024-02-01,Actual,Customer Success,14,0,0,1163513.17,215249.94
2024-02-01,Actual,Finance & Corporate,18,0,0,1689030.64,312470.67
2024-02-01,Actual,Marketing,15,0,1,1306342.58,241673.38
2024-02-01,Actual,Operations,28,0,0,2098394.71,388203.02
2024-02-01,Actual,Sales,105,2,0,8393254.72,1552752.1099999999
2024-02-01,Actual,Technology,24,0,0,2439364.25,451282.39
2024-03-01,Actual,Customer Success,14,0,0,1198550.63,221731.87
2024-03-01,Actual,Finance & Corporate,18,0,0,1683976.54,311535.66
2024-03-01,Actual,Marketing,15,0,0,1299468.1,240401.6
2024-03-01,Actual,Operations,28,0,0,2029743.49,375502.55
2024-03-01,Actual,Sales,104,0,1,8348858.14,1544538.75
2024-03-01,Actual,Technology,24,0,0,2427912.62,449163.83
2024-04-01,Actual,Customer Success,15,1,0,1338861.91,247689.45
2024-04-01,Actual,Finance & Corporate,18,0,0,1749980.6,323746.41
2024-04-01,Actual,Marketing,15,0,0,1361032.38,251790.99
2024-04-01,Actual,Operations,28,0,0,2202023.56,407374.36
2024-04-01,Actual,Sales,104,0,0,8953859.1,1656463.9300000002
2024-04-01,Actual,Technology,24,0,0,2656913.23,491528.95
2024-05-01,Actual,Customer Success,15,0,0,1350115.96,249771.45
2024-05-01,Actual,Finance & Corporate,19,1,0,1874561.27,346793.83
2024-05-01,Actual,Marketing,15,0,0,1357693.02,251173.21
2024-05-01,Actual,Operations,28,0,0,2178486.12,403019.93
2024-05-01,Actual,Sales,103,0,1,8735391.9,1616047.5
2024-05-01,Actual,Technology,24,0,0,2540984.9,470082.21
2024-06-01,Actual,Customer Success,15,0,0,1368204.83,253117.89
2024-06-01,Actual,Finance & Corporate,19,0,0,1890373.67,349719.13
2024-06-01,Actual,Marketing,15,0,0,1368961.85,253257.94
2024-06-01,Actual,Operations,29,1,0,2284527.03,422637.5
2024-06-01,Actual,Sales,105,2,0,8956496.86,1656951.93
2024-06-01,Actual,Technology,24,0,0,2593353.61,479770.42
2024-07-01,Actual,Customer Success,15,0,0,1341242.5,248129.86
2024-07-01,Actual,Finance & Corporate,19,0,0,1862978.2,344650.97
2024-07-01,Actual,Marketing,15,0,0,1376352.81,254625.27
2024-07-01,Actual,Operations,30,1,0,2371138.82,438660.68
2024-07-01,Actual,Sales,106,1,0,9077332.97,1679306.6
2024-07-01,Actual,Technology,24,0,0,2624912.95,485608.9
2024-08-01,Actual,Customer Success,15,0,0,1347775.67,249338.5
2024-08-01,Actual,Finance & Corporate,19,0,0,1910967.56,353529.0
2024-08-01,Actual,Marketing,16,1,0,1465940.22,271198.94
2024-08-01,Actual,Operations,30,0,0,2339709.64,432846.28
2024-08-01,Actual,Sales,109,3,0,9224590.290000001,1706549.2
2024-08-01,Actual,Technology,24,0,0,2581529.84,477583.02
2024-09-01,Actual,Customer Success,15,0,0,1352464.94,250206.01
2024-09-01,Actual,Finance & Corporate,19,0,0,1893972.02,350384.82
2024-09-01,Actual,Marketing,17,1,0,1562334.12,289031.81
2024-09-01,Actual,Operations,29,0,1,2220843.19,410855.99
2024-09-01,Actual,Sales,110,1,0,9421816.84,1743036.1099999999
2024-09-01,Actual,Technology,24,0,0,2567415.76,474971.92
2024-10-01,Actual,Customer Success,15,0,0,1352229.66,250162.49
2024-10-01,Actual,Finance & Corporate,19,0,0,1850622.4,342365.14
2024-10-01,Actual,Marketing,17,0,0,1521984.57,281567.15
2024-10-01,Actual,Operations,29,0,0,2207990.95,408478.33
2024-10-01,Actual,Sales,110,0,0,9435993.65,1745658.8199999998
2024-10-01,Actual,Technology,24,0,0,2615153.43,483803.39
2024-11-01,Actual,Customer Success,15,0,0,1351075.93,249949.05
2024-11-01,Actual,Finance & Corporate,19,0,0,1892821.22,350171.93
2024-11-01,Actual,Marketing,17,0,0,1524798.02,282087.63
2024-11-01,Actual,Operations,29,0,0,2293679.07,424330.63
2024-11-01,Actual,Sales,109,0,1,9552782.25,1767264.73
2024-11-01,Actual,Technology,24,0,0,2591035.14,479341.5
2024-12-01,Actual,Customer Success,15,0,0,1356537.78,250959.49
2024-12-01,Actual,Finance & Corporate,19,0,0,1904822.13,352392.09
2024-12-01,Actual,Marketing,17,0,0,1539194.87,284751.05
2024-12-01,Actual,Operations,29,0,0,2284777.86,422683.9
2024-12-01,Actual,Sales,111,2,0,9720308.05,1798256.99
2024-12-01,Actual,Technology,24,0,0,2555573.9,472781.17
2025-01-01,Actual,Customer Success,15,0,0,1356326.58,250920.42
2025-01-01,Actual,Finance & Corporate,20,1,0,1966689.68,363837.59
2025-01-01,Actual,Marketing,17,0,0,1538583.4,284637.93
2025-01-01,Actual,Operations,29,0,0,2275702.51,421004.97
2025-01-01,Actual,Sales,111,1,1,9393950.98,1737880.92
2025-01-01,Actual,Technology,24,0,0,2623079.25,485269.66
2025-02-01,Actual,Customer Success,16,1,0,1442616.08,266883.98
2025-02-01,Actual,Finance & Corporate,20,0,0,1959497.38,362507.02
2025-02-01,Actual,Marketing,17,0,0,1528389.91,282752.13
2025-02-01,Actual,Operations,28,0,1,2172024.07,401824.45
2025-02-01,Actual,Sales,112,1,0,9506641.53,1758728.67
2025-02-01,Actual,Technology,24,0,0,2572436.93,475900.83
2025-03-01,Actual,Customer Success,16,0,0,1452327.89,268680.66
2025-03-01,Actual,Finance & Corporate,20,0,0,1949980.87,360746.46
2025-03-01,Actual,Marketing,17,0,0,1525917.82,282294.8
2025-03-01,Actual,Operations,28,0,0,2131010.82,394237.0
2025-03-01,Actual,Sales,112,0,0,9512900.0,1759886.5
2025-03-01,Actual,Technology,23,0,1,2442708.29,451901.03
2025-04-01,Actual,Customer Success,16,0,0,1503679.81,278180.76
2025-04-01,Actual,Finance & Corporate,20,0,0,2116899.66,391626.44
2025-04-01,Actual,Marketing,17,0,0,1627892.83,301160.17
2025-04-01,Actual,Operations,28,0,0,2344272.76,433690.46
2025-04-01,Actual,Sales,112,0,0,10164440.65,1880421.52
2025-04-01,Actual,Technology,23,0,0,2616172.07,483991.83
2025-05-01,Actual,Customer Success,16,0,0,1531341.66,283298.21
2025-05-01,Actual,Finance & Corporate,20,0,0,2087770.28,386237.5
2025-05-01,Actual,Marketing,17,0,0,1645225.7,304366.76
2025-05-01,Actual,Operations,29,1,0,2364520.39,437436.27
2025-05-01,Actual,Sales,112,0,0,10196590.09,1886369.16
2025-05-01,Actual,Technology,22,0,1,2496883.9,461923.52
2025-06-01,Actual,Customer Success,16,0,0,1537808.14,284494.51
2025-06-01,Actual,Finance & Corporate,20,0,0,2059954.22,381091.53
2025-06-01,Actual,Marketing,18,1,0,1705424.47,315503.53
2025-06-01,Actual,Operations,29,0,0,2391364.16,442402.37
2025-06-01,Actual,Sales,113,1,0,10229593.08,1892474.73
2025-06-01,Actual,Technology,22,0,0,2500297.58,462555.05
2025-07-01,Actual,Customer Success,16,0,0,1527133.65,282519.72
2025-07-01,Actual,Finance & Corporate,21,1,0,2217026.2,410149.85
2025-07-01,Actual,Marketing,18,0,0,1781406.49,329560.2
2025-07-01,Actual,Operations,29,0,0,2358620.44,436344.78
2025-07-01,Actual,Sales,113,0,0,10208198.85,1888516.76
2025-07-01,Actual,Technology,22,0,0,2483917.03,459524.65
2025-08-01,Actual,Customer Success,16,1,1,1525364.05,282192.35
2025-08-01,Actual,Finance & Corporate,21,0,0,2198581.98,406737.67
2025-08-01,Actual,Marketing,18,0,0,1731014.32,320237.65
2025-08-01,Actual,Operations,29,0,0,2379621.95,440230.06
2025-08-01,Actual,Sales,114,1,0,10316270.17,1908509.99
2025-08-01,Actual,Technology,22,0,0,2520798.51,466347.72
2025-09-01,Actual,Customer Success,16,0,0,1515828.03,280428.19
2025-09-01,Actual,Finance & Corporate,21,0,0,2193357.37,405771.11
2025-09-01,Actual,Marketing,18,0,0,1749612.32,323678.28
2025-09-01,Actual,Operations,29,0,0,2424132.58,448464.53
2025-09-01,Actual,Sales,113,0,1,10235905.94,1893642.6
2025-09-01,Actual,Technology,22,0,0,2508030.6,463985.66
2025-10-01,Actual,Customer Success,16,0,0,1515344.45,280338.72
2025-10-01,Actual,Finance & Corporate,21,0,0,2241494.79,414676.54
2025-10-01,Actual,Marketing,18,1,1,1734928.38,320961.75
2025-10-01,Actual,Operations,30,1,0,2504430.62,463319.67
2025-10-01,Actual,Sales,114,1,0,10302909.99,1906038.3399999999
2025-10-01,Actual,Technology,22,0,0,2543651.03,470575.44
2025-11-01,Actual,Customer Success,16,0,0,1492423.21,276098.29
2025-11-01,Actual,Finance & Corporate,21,0,0,2204963.46,407918.24
2025-11-01,Actual,Marketing,18,0,0,1720046.95,318208.69
2025-11-01,Actual,Operations,30,0,0,2512566.43,464824.79
2025-11-01,Actual,Sales,114,0,0,10611434.07,1963115.3199999998
2025-11-01,Actual,Technology,22,0,0,2465785.98,456170.41
2025-12-01,Actual,Customer Success,16,0,0,1486616.33,275024.02
2025-12-01,Actual,Finance & Corporate,21,0,0,2157868.35,399205.64
2025-12-01,Actual,Marketing,18,0,0,1731130.26,320259.1
2025-12-01,Actual,Operations,30,0,0,2559757.26,473555.09
2025-12-01,Actual,Sales,114,1,1,10522460.209999999,1946655.15
2025-12-01,Actual,Technology,22,0,0,2552472.19,472207.36
2026-01-01,Actual,Customer Success,16,0,0,1517498.8,280737.28
2026-01-01,Actual,Finance & Corporate,21,0,0,2193652.41,405825.7
2026-01-01,Actual,Marketing,18,0,0,1740762.52,322041.07
2026-01-01,Actual,Operations,30,0,0,2455304.63,454231.36
2026-01-01,Actual,Sales,115,1,0,10474191.63,1937725.46
2026-01-01,Actual,Technology,22,0,0,2511572.37,464640.89
2026-02-01,Actual,Customer Success,16,0,0,1507559.31,278898.47
2026-02-01,Actual,Finance & Corporate,21,0,0,2181935.42,403658.05
2026-02-01,Actual,Marketing,18,0,0,1733667.56,320728.5
2026-02-01,Actual,Operations,30,0,0,2456458.73,454444.87
2026-02-01,Actual,Sales,115,0,0,10446646.879999999,1932629.67
2026-02-01,Actual,Technology,22,0,0,2506777.36,463753.81
2026-03-01,Actual,Customer Success,16,0,0,1523920.19,281925.23
2026-03-01,Actual,Finance & Corporate,21,0,0,2202086.41,407385.99
2026-03-01,Actual,Marketing,18,0,0,1707661.04,315917.29
2026-03-01,Actual,Operations,30,0,0,2441112.85,451605.88
2026-03-01,Actual,Sales,114,0,1,10259141.23,1897941.1199999999
2026-03-01,Actual,Technology,22,0,0,2545108.03,470844.99
2026-04-01,Actual,Customer Success,16,0,0,1610935.12,298023.0
2026-04-01,Actual,Finance & Corporate,21,0,0,2342342.05,433333.28
2026-04-01,Actual,Marketing,18,0,0,1831913.41,338903.98
2026-04-01,Actual,Operations,30,0,0,2616836.56,484114.76
2026-04-01,Actual,Sales,114,0,0,10945226.77,2024866.96
2026-04-01,Actual,Technology,22,0,0,2697197.73,498981.58
2026-05-01,Actual,Customer Success,16,0,0,1619223.05,299556.26
2026-05-01,Actual,Finance & Corporate,21,0,0,2322922.01,429740.57
2026-05-01,Actual,Marketing,18,0,0,1844315.55,341198.38
2026-05-01,Actual,Operations,30,0,0,2633517.09,487200.66
2026-05-01,Actual,Sales,114,0,0,10969591.89,2029374.51
2026-05-01,Actual,Technology,22,0,0,2637327.11,487905.52
2026-06-01,Actual,Customer Success,16,0,0,1630045.2,301558.36
2026-06-01,Actual,Finance & Corporate,21,0,0,2318539.23,428929.76
2026-06-01,Actual,Marketing,18,0,0,1824880.54,337602.9
2026-06-01,Actual,Operations,30,0,0,2601056.36,481195.43
2026-06-01,Actual,Sales,115,2,1,11153697.31,2063434.0
2026-06-01,Actual,Technology,22,0,0,2688583.98,497388.04
2026-01-01,Budget,Customer Success,16,0,0,1768420.56,327157.8
2026-01-01,Budget,Finance & Corporate,21,0,0,2553157.23,472334.09
2026-01-01,Budget,Marketing,18,0,0,2014341.62,372653.2
2026-01-01,Budget,Operations,30,0,0,2859867.48,529075.48
2026-01-01,Budget,Sales,114,0,0,11952036.370000001,2211126.73
2026-01-01,Budget,Technology,22,0,0,2917894.02,539810.39
2026-02-01,Budget,Customer Success,17,1,0,1878946.84,347605.17
2026-02-01,Budget,Finance & Corporate,22,1,0,2674736.14,494826.19
2026-02-01,Budget,Marketing,19,1,0,2126249.49,393356.16
2026-02-01,Budget,Operations,31,1,0,2955196.4,546711.33
2026-02-01,Budget,Sales,121,7,0,12703615.11,2350168.79
2026-02-01,Budget,Technology,23,1,0,3050525.57,564347.23
2026-03-01,Budget,Customer Success,17,0,0,1878946.84,347605.17
2026-03-01,Budget,Finance & Corporate,22,0,0,2674736.14,494826.19
2026-03-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-03-01,Budget,Operations,31,0,0,2955196.4,546711.33
2026-03-01,Budget,Sales,121,0,0,12703615.11,2350168.79
2026-03-01,Budget,Technology,23,0,0,3050525.57,564347.23
2026-04-01,Budget,Customer Success,17,0,0,1878946.84,347605.17
2026-04-01,Budget,Finance & Corporate,22,0,0,2674736.14,494826.19
2026-04-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-04-01,Budget,Operations,31,0,0,2955196.4,546711.33
2026-04-01,Budget,Sales,121,0,0,12703615.11,2350168.79
2026-04-01,Budget,Technology,23,0,0,3050525.57,564347.23
2026-05-01,Budget,Customer Success,17,0,0,1878946.84,347605.17
2026-05-01,Budget,Finance & Corporate,22,0,0,2674736.14,494826.19
2026-05-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-05-01,Budget,Operations,31,0,0,2955196.4,546711.33
2026-05-01,Budget,Sales,121,0,0,12703615.11,2350168.79
2026-05-01,Budget,Technology,23,0,0,3050525.57,564347.23
2026-06-01,Budget,Customer Success,17,0,0,1878946.84,347605.17
2026-06-01,Budget,Finance & Corporate,22,0,0,2674736.14,494826.19
2026-06-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-06-01,Budget,Operations,31,0,0,2955196.4,546711.33
2026-06-01,Budget,Sales,121,0,0,12703615.11,2350168.79
2026-06-01,Budget,Technology,24,1,0,3183157.11,588884.07
2026-07-01,Budget,Customer Success,17,0,0,1878946.84,347605.17
2026-07-01,Budget,Finance & Corporate,22,0,0,2674736.14,494826.19
2026-07-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-07-01,Budget,Operations,31,0,0,2955196.4,546711.33
2026-07-01,Budget,Sales,121,0,0,12703615.11,2350168.79
2026-07-01,Budget,Technology,24,0,0,3183157.11,588884.07
2026-08-01,Budget,Customer Success,17,0,0,1878946.84,347605.17
2026-08-01,Budget,Finance & Corporate,22,0,0,2674736.14,494826.19
2026-08-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-08-01,Budget,Operations,31,0,0,2955196.4,546711.33
2026-08-01,Budget,Sales,121,0,0,12703615.11,2350168.79
2026-08-01,Budget,Technology,24,0,0,3183157.11,588884.07
2026-09-01,Budget,Customer Success,17,0,0,1878946.84,347605.17
2026-09-01,Budget,Finance & Corporate,21,0,1,2553157.23,472334.09
2026-09-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-09-01,Budget,Operations,30,0,1,2859867.48,529075.48
2026-09-01,Budget,Sales,118,0,3,12403812.55,2294705.3200000003
2026-09-01,Budget,Technology,23,0,1,3050525.57,564347.23
2026-10-01,Budget,Customer Success,18,1,0,1989473.13,368052.53
2026-10-01,Budget,Finance & Corporate,21,0,0,2553157.23,472334.09
2026-10-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-10-01,Budget,Operations,31,1,0,2955196.4,546711.33
2026-10-01,Budget,Sales,125,7,0,13155391.29,2433747.39
2026-10-01,Budget,Technology,24,1,0,3183157.11,588884.07
2026-11-01,Budget,Customer Success,18,0,0,1989473.13,368052.53
2026-11-01,Budget,Finance & Corporate,21,0,0,2553157.23,472334.09
2026-11-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-11-01,Budget,Operations,31,0,0,2955196.4,546711.33
2026-11-01,Budget,Sales,125,0,0,13155391.29,2433747.39
2026-11-01,Budget,Technology,24,0,0,3183157.11,588884.07
2026-12-01,Budget,Customer Success,18,0,0,1989473.13,368052.53
2026-12-01,Budget,Finance & Corporate,21,0,0,2553157.23,472334.09
2026-12-01,Budget,Marketing,19,0,0,2126249.49,393356.16
2026-12-01,Budget,Operations,31,0,0,2955196.4,546711.33
2026-12-01,Budget,Sales,125,0,0,13155391.29,2433747.39
2026-12-01,Budget,Technology,24,0,0,3183157.11,588884.07
2026-01-01,Forecast,Customer Success,16,0,0,1517498.8,280737.28
2026-01-01,Forecast,Finance & Corporate,21,0,0,2193652.41,405825.7
2026-01-01,Forecast,Marketing,18,0,0,1740762.52,322041.07
2026-01-01,Forecast,Operations,30,0,0,2455304.63,454231.36
2026-01-01,Forecast,Sales,115,1,0,10474191.63,1937725.46
2026-01-01,Forecast,Technology,22,0,0,2511572.37,464640.89
2026-02-01,Forecast,Customer Success,16,0,0,1507559.31,278898.47
2026-02-01,Forecast,Finance & Corporate,21,0,0,2181935.42,403658.05
2026-02-01,Forecast,Marketing,18,0,0,1733667.56,320728.5
2026-02-01,Forecast,Operations,30,0,0,2456458.73,454444.87
2026-02-01,Forecast,Sales,115,0,0,10446646.879999999,1932629.67
2026-02-01,Forecast,Technology,22,0,0,2506777.36,463753.81
2026-03-01,Forecast,Customer Success,16,0,0,1523920.19,281925.23
2026-03-01,Forecast,Finance & Corporate,21,0,0,2202086.41,407385.99
2026-03-01,Forecast,Marketing,18,0,0,1707661.04,315917.29
2026-03-01,Forecast,Operations,30,0,0,2441112.85,451605.88
2026-03-01,Forecast,Sales,114,0,1,10259141.23,1897941.1199999999
2026-03-01,Forecast,Technology,22,0,0,2545108.03,470844.99
2026-04-01,Forecast,Customer Success,16,0,0,1610935.12,298023.0
2026-04-01,Forecast,Finance & Corporate,21,0,0,2342342.05,433333.28
2026-04-01,Forecast,Marketing,18,0,0,1831913.41,338903.98
2026-04-01,Forecast,Operations,30,0,0,2616836.56,484114.76
2026-04-01,Forecast,Sales,114,0,0,10945226.77,2024866.96
2026-04-01,Forecast,Technology,22,0,0,2697197.73,498981.58
2026-05-01,Forecast,Customer Success,16,0,0,1619223.05,299556.26
2026-05-01,Forecast,Finance & Corporate,21,0,0,2322922.01,429740.57
2026-05-01,Forecast,Marketing,18,0,0,1844315.55,341198.38
2026-05-01,Forecast,Operations,30,0,0,2633517.09,487200.66
2026-05-01,Forecast,Sales,114,0,0,10969591.89,2029374.51
2026-05-01,Forecast,Technology,22,0,0,2637327.11,487905.52
2026-06-01,Forecast,Customer Success,16,0,0,1630045.2,301558.36
2026-06-01,Forecast,Finance & Corporate,21,0,0,2318539.23,428929.76
2026-06-01,Forecast,Marketing,18,0,0,1824880.54,337602.9
2026-06-01,Forecast,Operations,30,0,0,2601056.36,481195.43
2026-06-01,Forecast,Sales,115,2,1,11153697.31,2063434.0
2026-06-01,Forecast,Technology,22,0,0,2688583.98,497388.04
2026-07-01,Forecast,Customer Success,16,0,0,1615970.56,298954.55
2026-07-01,Forecast,Finance & Corporate,21,0,0,2333057.37,431615.61
2026-07-01,Forecast,Marketing,18,0,0,1840691.34,340527.9
2026-07-01,Forecast,Operations,30,0,0,2613327.3,483465.55
2026-07-01,Forecast,Sales,115,0,0,11032785.86,2041065.38
2026-07-01,Forecast,Technology,22,0,0,2666351.38,493275.01
2026-08-01,Forecast,Customer Success,16,0,0,1615970.56,298954.55
2026-08-01,Forecast,Finance & Corporate,21,0,0,2333057.37,431615.61
2026-08-01,Forecast,Marketing,18,0,0,1840691.34,340527.9
2026-08-01,Forecast,Operations,31,1,0,2700438.21,499581.07
2026-08-01,Forecast,Sales,122,7,0,11719573.31,2168121.06
2026-08-01,Forecast,Technology,23,1,0,2787549.17,515696.6
2026-09-01,Forecast,Customer Success,16,0,0,1615970.56,298954.55
2026-09-01,Forecast,Finance & Corporate,21,0,0,2333057.37,431615.61
2026-09-01,Forecast,Marketing,18,0,0,1840691.34,340527.9
2026-09-01,Forecast,Operations,31,0,0,2700438.21,499581.07
2026-09-01,Forecast,Sales,122,0,0,11719573.31,2168121.06
2026-09-01,Forecast,Technology,23,0,0,2787549.17,515696.6
2026-10-01,Forecast,Customer Success,15,0,1,1514972.4,280269.89
2026-10-01,Forecast,Finance & Corporate,20,0,1,2221959.4,411062.49
2026-10-01,Forecast,Marketing,17,0,1,1738430.71,321609.68
2026-10-01,Forecast,Operations,30,0,1,2613327.3,483465.55
2026-10-01,Forecast,Sales,118,0,4,11337042.8,2097352.91
2026-10-01,Forecast,Technology,22,0,1,2666351.38,493275.01
2026-11-01,Forecast,Customer Success,15,0,0,1514972.4,280269.89
2026-11-01,Forecast,Finance & Corporate,20,0,0,2221959.4,411062.49
2026-11-01,Forecast,Marketing,17,0,0,1738430.71,321609.68
2026-11-01,Forecast,Operations,31,1,0,2700438.21,499581.07
2026-11-01,Forecast,Sales,125,7,0,12023830.25,2224408.59
2026-11-01,Forecast,Technology,23,1,0,2787549.17,515696.6
2026-12-01,Forecast,Customer Success,15,0,0,1514972.4,280269.89
2026-12-01,Forecast,Finance & Corporate,20,0,0,2221959.4,411062.49
2026-12-01,Forecast,Marketing,17,0,0,1738430.71,321609.68
2026-12-01,Forecast,Operations,31,0,0,2700438.21,499581.07
2026-12-01,Forecast,Sales,125,0,0,12023830.25,2224408.59
2026-12-01,Forecast,Technology,23,0,0,2787549.17,515696.6
2027-01-01,Forecast,Customer Success,15,0,0,1514972.4,280269.89
2027-01-01,Forecast,Finance & Corporate,20,0,0,2221959.4,411062.49
2027-01-01,Forecast,Marketing,17,0,0,1738430.71,321609.68
2027-01-01,Forecast,Operations,31,0,0,2700438.21,499581.07
2027-01-01,Forecast,Sales,125,0,0,12023830.25,2224408.59
2027-01-01,Forecast,Technology,23,0,0,2787549.17,515696.6
2027-02-01,Forecast,Customer Success,15,0,0,1514972.4,280269.89
2027-02-01,Forecast,Finance & Corporate,20,0,0,2221959.4,411062.49
2027-02-01,Forecast,Marketing,17,0,0,1738430.71,321609.68
2027-02-01,Forecast,Operations,32,1,0,2787549.12,515696.59
2027-02-01,Forecast,Sales,132,7,0,12710617.7,2351464.27
2027-02-01,Forecast,Technology,24,1,0,2908746.96,538118.19
2027-03-01,Forecast,Customer Success,15,0,0,1514972.4,280269.89
2027-03-01,Forecast,Finance & Corporate,20,0,0,2221959.4,411062.49
2027-03-01,Forecast,Marketing,17,0,0,1738430.71,321609.68
