Month,BusinessUnit,Model,ActualRevenueTRY,PredictedRevenueTRY,AbsoluteErrorTRY,AbsolutePercentageError
2026-01-01,Retail Stores,Linear Trend + Seasonality,30374320.33,31571527.24,1197206.91,0.039415
2026-02-01,Retail Stores,Linear Trend + Seasonality,30572611.7,32615712.38,2043100.68,0.066828
2026-03-01,Retail Stores,Linear Trend + Seasonality,35772229.58,36550280.13,778050.55,0.02175
2026-04-01,Retail Stores,Linear Trend + Seasonality,36706211.22,38343733.59,1637522.37,0.044612
2026-05-01,Retail Stores,Linear Trend + Seasonality,38998954.64,39378485.5,379530.86,0.009732
2026-06-01,Retail Stores,Linear Trend + Seasonality,41596842.63,41629394.59,32551.96,0.000783
2026-01-01,Retail Stores,Log-Ridge Seasonal,30374320.33,34776101.23,4401780.9,0.144918
2026-02-01,Retail Stores,Log-Ridge Seasonal,30572611.7,32661247.44,2088635.74,0.068317
2026-03-01,Retail Stores,Log-Ridge Seasonal,35772229.58,35808174.51,35944.93,0.001005
2026-04-01,Retail Stores,Log-Ridge Seasonal,36706211.22,38845859.93,2139648.71,0.058291
2026-05-01,Retail Stores,Log-Ridge Seasonal,38998954.64,41062739.37,2063784.73,0.052919
2026-06-01,Retail Stores,Log-Ridge Seasonal,41596842.63,42328008.16,731165.53,0.017577
2026-01-01,Retail Stores,Gradient Boosting,30374320.33,32779360.36,2405040.03,0.07918
2026-02-01,Retail Stores,Gradient Boosting,30572611.7,32779360.36,2206748.66,0.072181
2026-03-01,Retail Stores,Gradient Boosting,35772229.58,32779360.36,2992869.22,0.083665
2026-04-01,Retail Stores,Gradient Boosting,36706211.22,32779360.36,3926850.86,0.106981
2026-05-01,Retail Stores,Gradient Boosting,38998954.64,32779360.36,6219594.28,0.159481
2026-06-01,Retail Stores,Gradient Boosting,41596842.63,32779360.36,8817482.27,0.211975
2026-01-01,Subscription Services,Seasonal Naive,7849410.62,6151609.15,1697801.47,0.216297
2026-02-01,Subscription Services,Seasonal Naive,8208619.7,6257308.92,1951310.78,0.237715
2026-03-01,Subscription Services,Seasonal Naive,7896588.06,6713853.35,1182734.71,0.149778
2026-04-01,Subscription Services,Seasonal Naive,8121340.74,6773644.35,1347696.39,0.165945
2026-05-01,Subscription Services,Seasonal Naive,8438863.52,7037750.21,1401113.31,0.166031
2026-06-01,Subscription Services,Seasonal Naive,8291553.7,7229871.81,1061681.89,0.128044
2026-01-01,Subscription Services,Linear Trend + Seasonality,7849410.62,7453270.49,396140.13,0.050467
2026-02-01,Subscription Services,Linear Trend + Seasonality,8208619.7,7552409.02,656210.68,0.079942
2026-03-01,Subscription Services,Linear Trend + Seasonality,7896588.06,7759341.74,137246.32,0.01738
2026-04-01,Subscription Services,Linear Trend + Seasonality,8121340.74,8015638.01,105702.73,0.013015
2026-05-01,Subscription Services,Linear Trend + Seasonality,8438863.52,8101582.61,337280.91,0.039968
2026-06-01,Subscription Services,Linear Trend + Seasonality,8291553.7,8347983.52,56429.82,0.006806
2026-01-01,Subscription Services,Log-Ridge Seasonal,7849410.62,7777550.83,71859.79,0.009155
2026-02-01,Subscription Services,Log-Ridge Seasonal,8208619.7,7766360.66,442259.04,0.053877
2026-03-01,Subscription Services,Log-Ridge Seasonal,7896588.06,8032456.12,135868.06,0.017206
2026-04-01,Subscription Services,Log-Ridge Seasonal,8121340.74,8407253.5,285912.76,0.035205
2026-05-01,Subscription Services,Log-Ridge Seasonal,8438863.52,8627997.76,189134.24,0.022412
2026-06-01,Subscription Services,Log-Ridge Seasonal,8291553.7,8944178.95,652625.25,0.07871
2026-01-01,Subscription Services,Gradient Boosting,7849410.62,6041273.43,1808137.19,0.230353
2026-02-01,Subscription Services,Gradient Boosting,8208619.7,6041273.43,2167346.27,0.264033
2026-03-01,Subscription Services,Gradient Boosting,7896588.06,6041273.43,1855314.63,0.234951
2026-04-01,Subscription Services,Gradient Boosting,8121340.74,6041273.43,2080067.31,0.256124
2026-05-01,Subscription Services,Gradient Boosting,8438863.52,6041273.43,2397590.09,0.284113
2026-06-01,Subscription Services,Gradient Boosting,8291553.7,6041273.43,2250280.27,0.271394
2026-01-01,Wholesale,Seasonal Naive,31650454.41,27875701.38,3774753.03,0.119264
2026-02-01,Wholesale,Seasonal Naive,32628750.58,29782855.04,2845895.54,0.08722
2026-03-01,Wholesale,Seasonal Naive,37115484.52,34221597.98,2893886.54,0.07797
2026-04-01,Wholesale,Seasonal Naive,38753817.57,33609780.0,5144037.57,0.132736
2026-05-01,Wholesale,Seasonal Naive,36669749.41,32020603.48,4649145.93,0.126784
2026-06-01,Wholesale,Seasonal Naive,33413568.03,31168321.67,2245246.36,0.067196
2026-01-01,Wholesale,Linear Trend + Seasonality,31650454.41,31839180.31,188725.9,0.005963
2026-02-01,Wholesale,Linear Trend + Seasonality,32628750.58,33348705.18,719954.6,0.022065
2026-03-01,Wholesale,Linear Trend + Seasonality,37115484.52,36517791.69,597692.83,0.016104
2026-04-01,Wholesale,Linear Trend + Seasonality,38753817.57,36947698.4,1806119.17,0.046605
2026-05-01,Wholesale,Linear Trend + Seasonality,36669749.41,35200525.6,1469223.81,0.040066
2026-06-01,Wholesale,Linear Trend + Seasonality,33413568.03,34363910.13,950342.1,0.028442
2026-01-01,Wholesale,Log-Ridge Seasonal,31650454.41,31546020.12,104434.29,0.0033
2026-02-01,Wholesale,Log-Ridge Seasonal,32628750.58,33447883.91,819133.33,0.025105
2026-03-01,Wholesale,Log-Ridge Seasonal,37115484.52,36919122.45,196362.07,0.005291
2026-04-01,Wholesale,Log-Ridge Seasonal,38753817.57,37799866.11,953951.46,0.024616
2026-05-01,Wholesale,Log-Ridge Seasonal,36669749.41,35726966.28,942783.13,0.02571
2026-06-01,Wholesale,Log-Ridge Seasonal,33413568.03,33922913.48,509345.45,0.015244
2026-01-01,Wholesale,Gradient Boosting,31650454.41,29077747.68,2572706.73,0.081285
2026-02-01,Wholesale,Gradient Boosting,32628750.58,29077747.68,3551002.9,0.10883
2026-03-01,Wholesale,Gradient Boosting,37115484.52,29077747.68,8037736.84,0.21656
2026-04-01,Wholesale,Gradient Boosting,38753817.57,29077747.68,9676069.89,0.24968
2026-05-01,Wholesale,Gradient Boosting,36669749.41,29077747.68,7592001.73,0.207037
2026-06-01,Wholesale,Gradient Boosting,33413568.03,29077747.68,4335820.35,0.129762
